InterconnectorLinks,ToNode,Period,MaxRawNotAdjustWithInitCap_in_MW
Poland,Germany,8,21000.0
Poland,Hungary,8,9800.0
Poland,Lithuania,8,4900.0
Portugal,Spain,8,24500.0
Romania,Bulgaria,8,5250.0
Romania,Hungary,8,8400.0
Serbia,BosniaH,8,2730.0
Serbia,Bulgaria,8,7000.0
Serbia,Croatia,8,4550.0
Serbia,Hungary,8,4200.0
Serbia,Macedonia,8,2975.0
Serbia,Romania,8,12650.4
Slovakia,Austria,8,9800.0
Slovakia,CzechR,8,14700.0
Slovakia,Hungary,8,21280.0
Slovakia,Poland,8,9100.0
Slovenia,Austria,8,13650.0
Slovenia,Croatia,8,11340.0
Slovenia,Hungary,8,6720.0
Slovenia,Italy,8,11830.0
SørligeNordsjøI,Borssele,8,0.0
SørligeNordsjøI,DoggerBank,8,0.0
SørligeNordsjøI,EastAnglia,8,0.0
SørligeNordsjøI,FirthofForth,8,0.0
SørligeNordsjøI,HelgoländerBucht,8,0.0
SørligeNordsjøI,HollandseeKust,8,0.0
SørligeNordsjøI,Hornsea,8,0.0
SørligeNordsjøI,MorayFirth,8,0.0
SørligeNordsjøI,NO2,8,50000.0
SørligeNordsjøI,Nordsøen,8,0.0
SørligeNordsjøI,Norfolk,8,0.0
SørligeNordsjøI,OuterDowsing,8,0.0
SørligeNordsjøI,UtsiraNord,8,0.0
SørligeNordsjøII,Borssele,8,0.0
SørligeNordsjøII,DoggerBank,8,0.0
SørligeNordsjøII,EastAnglia,8,0.0
SørligeNordsjøII,FirthofForth,8,0.0
SørligeNordsjøII,HelgoländerBucht,8,0.0
SørligeNordsjøII,HollandseeKust,8,0.0
SørligeNordsjøII,Hornsea,8,0.0
SørligeNordsjøII,MorayFirth,8,0.0
SørligeNordsjøII,NO2,8,50000.0
SørligeNordsjøII,Nordsøen,8,0.0
SørligeNordsjøII,Norfolk,8,0.0
SørligeNordsjøII,OuterDowsing,8,0.0
SørligeNordsjøII,SørligeNordsjøI,8,0.0
SørligeNordsjøII,UtsiraNord,8,0.0
Sweden,Denmark,8,15470.0
Sweden,Estonia,8,9800.0
Sweden,Finland,8,17500.0
Sweden,Germany,8,4200.0
Sweden,Latvia,8,9800.0
Sweden,Lithuania,8,4900.0
Sweden,NO1,8,15015.0
Sweden,NO3,8,4550.0
Sweden,NO4,8,6300.0
Sweden,Poland,8,4200.0
Switzerland,Austria,8,9800.0
UtsiraNord,Borssele,8,0.0
UtsiraNord,DoggerBank,8,0.0
UtsiraNord,EastAnglia,8,0.0
UtsiraNord,FirthofForth,8,0.0
UtsiraNord,HelgoländerBucht,8,0.0
UtsiraNord,HollandseeKust,8,0.0
UtsiraNord,Hornsea,8,0.0
UtsiraNord,MorayFirth,8,0.0
UtsiraNord,NO2,8,50000.0
UtsiraNord,Nordsøen,8,0.0
UtsiraNord,Norfolk,8,0.0
UtsiraNord,OuterDowsing,8,0.0
