Nodes,StorageTypes,Period,PowerMaxBuiltCapacity
France,HydroPumpStorage,2,500000.0
France,HydroPumpStorage,3,500000.0
France,HydroPumpStorage,4,500000.0
France,HydroPumpStorage,5,500000.0
France,HydroPumpStorage,6,500000.0
France,HydroPumpStorage,7,500000.0
GreatBrit.,HydroPumpStorage,1,500000
GreatBrit.,HydroPumpStorage,2,500000.0
GreatBrit.,HydroPumpStorage,3,500000.0
GreatBrit.,HydroPumpStorage,4,500000.0
GreatBrit.,HydroPumpStorage,5,500000.0
GreatBrit.,HydroPumpStorage,6,500000.0
GreatBrit.,HydroPumpStorage,7,500000.0
Greece,HydroPumpStorage,1,500000
Greece,HydroPumpStorage,2,500000.0
Greece,HydroPumpStorage,3,500000.0
Greece,HydroPumpStorage,4,500000.0
Greece,HydroPumpStorage,5,500000.0
Greece,HydroPumpStorage,6,500000.0
Greece,HydroPumpStorage,7,500000.0
Croatia,HydroPumpStorage,1,500000
Croatia,HydroPumpStorage,2,500000.0
Croatia,HydroPumpStorage,3,500000.0
Croatia,HydroPumpStorage,4,500000.0
Croatia,HydroPumpStorage,5,500000.0
Croatia,HydroPumpStorage,6,500000.0
Croatia,HydroPumpStorage,7,500000.0
Hungary,HydroPumpStorage,1,500000
Hungary,HydroPumpStorage,2,500000.0
Hungary,HydroPumpStorage,3,500000.0
Hungary,HydroPumpStorage,4,500000.0
Hungary,HydroPumpStorage,5,500000.0
Hungary,HydroPumpStorage,6,500000.0
Hungary,HydroPumpStorage,7,500000.0
Ireland,HydroPumpStorage,1,500000
Ireland,HydroPumpStorage,2,500000.0
Ireland,HydroPumpStorage,3,500000.0
Ireland,HydroPumpStorage,4,500000.0
Ireland,HydroPumpStorage,5,500000.0
Ireland,HydroPumpStorage,6,500000.0
Ireland,HydroPumpStorage,7,500000.0
Italy,HydroPumpStorage,1,500000
Italy,HydroPumpStorage,2,500000.0
Italy,HydroPumpStorage,3,500000.0
Italy,HydroPumpStorage,4,500000.0
Italy,HydroPumpStorage,5,500000.0
Italy,HydroPumpStorage,6,500000.0
Italy,HydroPumpStorage,7,500000.0
Lithuania,HydroPumpStorage,1,500000
Lithuania,HydroPumpStorage,2,500000.0
Lithuania,HydroPumpStorage,3,500000.0
Lithuania,HydroPumpStorage,4,500000.0
Lithuania,HydroPumpStorage,5,500000.0
Lithuania,HydroPumpStorage,6,500000.0
Lithuania,HydroPumpStorage,7,500000.0
Luxemb.,HydroPumpStorage,1,500000
Luxemb.,HydroPumpStorage,2,500000.0
Luxemb.,HydroPumpStorage,3,500000.0
Luxemb.,HydroPumpStorage,4,500000.0
Luxemb.,HydroPumpStorage,5,500000.0
Luxemb.,HydroPumpStorage,6,500000.0
Luxemb.,HydroPumpStorage,7,500000.0
Macedonia,HydroPumpStorage,1,500000
Macedonia,HydroPumpStorage,2,500000.0
Macedonia,HydroPumpStorage,3,500000.0
Macedonia,HydroPumpStorage,4,500000.0
Macedonia,HydroPumpStorage,5,500000.0
Macedonia,HydroPumpStorage,6,500000.0
Macedonia,HydroPumpStorage,7,500000.0
NO1,HydroPumpStorage,1,500000
NO1,HydroPumpStorage,2,500000.0
NO1,HydroPumpStorage,3,500000.0
NO1,HydroPumpStorage,4,500000.0
NO1,HydroPumpStorage,5,500000.0
NO1,HydroPumpStorage,6,500000.0
NO1,HydroPumpStorage,7,500000.0
NO2,HydroPumpStorage,1,500000
NO2,HydroPumpStorage,2,500000.0
NO2,HydroPumpStorage,3,500000.0
NO2,HydroPumpStorage,4,500000.0
NO2,HydroPumpStorage,5,500000.0
NO2,HydroPumpStorage,6,500000.0
NO2,HydroPumpStorage,7,500000.0
NO3,HydroPumpStorage,1,500000
NO3,HydroPumpStorage,2,500000.0
NO3,HydroPumpStorage,3,500000.0
NO3,HydroPumpStorage,4,500000.0
NO3,HydroPumpStorage,5,500000.0
NO3,HydroPumpStorage,6,500000.0
NO3,HydroPumpStorage,7,500000.0
NO4,HydroPumpStorage,1,500000
NO4,HydroPumpStorage,2,500000.0
NO4,HydroPumpStorage,3,500000.0
NO4,HydroPumpStorage,4,500000.0
NO4,HydroPumpStorage,5,500000.0
NO4,HydroPumpStorage,6,500000.0
NO4,HydroPumpStorage,7,500000.0
NO5,HydroPumpStorage,1,500000
NO5,HydroPumpStorage,2,500000.0
NO5,HydroPumpStorage,3,500000.0
NO5,HydroPumpStorage,4,500000.0
NO5,HydroPumpStorage,5,500000.0
NO5,HydroPumpStorage,6,500000.0
NO5,HydroPumpStorage,7,500000.0
Poland,HydroPumpStorage,1,500000
Poland,HydroPumpStorage,2,500000.0
Poland,HydroPumpStorage,3,500000.0
Poland,HydroPumpStorage,4,500000.0
Poland,HydroPumpStorage,5,500000.0
Poland,HydroPumpStorage,6,500000.0
Poland,HydroPumpStorage,7,500000.0
Portugal,HydroPumpStorage,1,500000
Portugal,HydroPumpStorage,2,500000.0
Portugal,HydroPumpStorage,3,500000.0
Portugal,HydroPumpStorage,4,500000.0
Portugal,HydroPumpStorage,5,500000.0
Portugal,HydroPumpStorage,6,500000.0
Portugal,HydroPumpStorage,7,500000.0
Romania,HydroPumpStorage,1,500000
Romania,HydroPumpStorage,2,500000.0
Romania,HydroPumpStorage,3,500000.0
Romania,HydroPumpStorage,4,500000.0
Romania,HydroPumpStorage,5,500000.0
Romania,HydroPumpStorage,6,500000.0
Romania,HydroPumpStorage,7,500000.0
Serbia,HydroPumpStorage,1,500000
Serbia,HydroPumpStorage,2,500000.0
Serbia,HydroPumpStorage,3,500000.0
Serbia,HydroPumpStorage,4,500000.0
Serbia,HydroPumpStorage,5,500000.0
Serbia,HydroPumpStorage,6,500000.0
Serbia,HydroPumpStorage,7,500000.0
Sweden,HydroPumpStorage,1,500000
Sweden,HydroPumpStorage,2,500000.0
Sweden,HydroPumpStorage,3,500000.0
Sweden,HydroPumpStorage,4,500000.0
Sweden,HydroPumpStorage,5,500000.0
Sweden,HydroPumpStorage,6,500000.0
Sweden,HydroPumpStorage,7,500000.0
Slovakia,HydroPumpStorage,1,500000
Slovakia,HydroPumpStorage,2,500000.0
Slovakia,HydroPumpStorage,3,500000.0
Slovakia,HydroPumpStorage,4,500000.0
Slovakia,HydroPumpStorage,5,500000.0
Slovakia,HydroPumpStorage,6,500000.0
Slovakia,HydroPumpStorage,7,500000.0
Austria,Li-Ion_BESS,1,500000
Austria,Li-Ion_BESS,2,500000.0
Austria,Li-Ion_BESS,3,500000.0
Austria,Li-Ion_BESS,4,500000.0
Austria,Li-Ion_BESS,5,500000.0
Austria,Li-Ion_BESS,6,500000.0
Austria,Li-Ion_BESS,7,500000.0
BosniaH,Li-Ion_BESS,1,500000
BosniaH,Li-Ion_BESS,2,500000.0
BosniaH,Li-Ion_BESS,3,500000.0
BosniaH,Li-Ion_BESS,4,500000.0
BosniaH,Li-Ion_BESS,5,500000.0
BosniaH,Li-Ion_BESS,6,500000.0
BosniaH,Li-Ion_BESS,7,500000.0
Belgium,Li-Ion_BESS,1,500000
Belgium,Li-Ion_BESS,2,500000.0
Belgium,Li-Ion_BESS,3,500000.0
Belgium,Li-Ion_BESS,4,500000.0
Belgium,Li-Ion_BESS,5,500000.0
Belgium,Li-Ion_BESS,6,500000.0
Belgium,Li-Ion_BESS,7,500000.0
Bulgaria,Li-Ion_BESS,1,500000
Bulgaria,Li-Ion_BESS,2,500000.0
Bulgaria,Li-Ion_BESS,3,500000.0
Bulgaria,Li-Ion_BESS,4,500000.0
Bulgaria,Li-Ion_BESS,5,500000.0
Bulgaria,Li-Ion_BESS,6,500000.0
Bulgaria,Li-Ion_BESS,7,500000.0
Switzerland,Li-Ion_BESS,1,500000
Switzerland,Li-Ion_BESS,2,500000.0
Switzerland,Li-Ion_BESS,3,500000.0
Switzerland,Li-Ion_BESS,4,500000.0
Switzerland,Li-Ion_BESS,5,500000.0
Switzerland,Li-Ion_BESS,6,500000.0
Switzerland,Li-Ion_BESS,7,500000.0
CzechR,Li-Ion_BESS,1,500000
CzechR,Li-Ion_BESS,2,500000.0
CzechR,Li-Ion_BESS,3,500000.0
CzechR,Li-Ion_BESS,4,500000.0
CzechR,Li-Ion_BESS,5,500000.0
CzechR,Li-Ion_BESS,6,500000.0
CzechR,Li-Ion_BESS,7,500000.0
Germany,Li-Ion_BESS,1,500000
Germany,Li-Ion_BESS,2,500000.0
Germany,Li-Ion_BESS,3,500000.0
Germany,Li-Ion_BESS,4,500000.0
Germany,Li-Ion_BESS,5,500000.0
Germany,Li-Ion_BESS,6,500000.0
Germany,Li-Ion_BESS,7,500000.0
Denmark,Li-Ion_BESS,1,500000
Denmark,Li-Ion_BESS,2,500000.0
Denmark,Li-Ion_BESS,3,500000.0
Denmark,Li-Ion_BESS,4,500000.0
Denmark,Li-Ion_BESS,5,500000.0
Denmark,Li-Ion_BESS,6,500000.0
Denmark,Li-Ion_BESS,7,500000.0
Estonia,Li-Ion_BESS,1,500000
Estonia,Li-Ion_BESS,2,500000.0
Estonia,Li-Ion_BESS,3,500000.0
Estonia,Li-Ion_BESS,4,500000.0
Estonia,Li-Ion_BESS,5,500000.0
Estonia,Li-Ion_BESS,6,500000.0
Estonia,Li-Ion_BESS,7,500000.0
Spain,Li-Ion_BESS,1,500000
Spain,Li-Ion_BESS,2,500000.0
Spain,Li-Ion_BESS,3,500000.0
Spain,Li-Ion_BESS,4,500000.0
Spain,Li-Ion_BESS,5,500000.0
Spain,Li-Ion_BESS,6,500000.0
Spain,Li-Ion_BESS,7,500000.0
Finland,Li-Ion_BESS,1,500000
Finland,Li-Ion_BESS,2,500000.0
Finland,Li-Ion_BESS,3,500000.0
Finland,Li-Ion_BESS,4,500000.0
Finland,Li-Ion_BESS,5,500000.0
Finland,Li-Ion_BESS,6,500000.0
Finland,Li-Ion_BESS,7,500000.0
France,Li-Ion_BESS,1,500000
France,Li-Ion_BESS,2,500000.0
France,Li-Ion_BESS,3,500000.0
France,Li-Ion_BESS,4,500000.0
France,Li-Ion_BESS,5,500000.0
France,Li-Ion_BESS,6,500000.0
France,Li-Ion_BESS,7,500000.0
GreatBrit.,Li-Ion_BESS,1,500000
GreatBrit.,Li-Ion_BESS,2,500000.0
GreatBrit.,Li-Ion_BESS,3,500000.0
GreatBrit.,Li-Ion_BESS,4,500000.0
GreatBrit.,Li-Ion_BESS,5,500000.0
GreatBrit.,Li-Ion_BESS,6,500000.0
GreatBrit.,Li-Ion_BESS,7,500000.0
Greece,Li-Ion_BESS,1,500000
Greece,Li-Ion_BESS,2,500000.0
Greece,Li-Ion_BESS,3,500000.0
Greece,Li-Ion_BESS,4,500000.0
Greece,Li-Ion_BESS,5,500000.0
Greece,Li-Ion_BESS,6,500000.0
Greece,Li-Ion_BESS,7,500000.0
Croatia,Li-Ion_BESS,1,500000
Croatia,Li-Ion_BESS,2,500000.0
Croatia,Li-Ion_BESS,3,500000.0
Croatia,Li-Ion_BESS,4,500000.0
Croatia,Li-Ion_BESS,5,500000.0
Croatia,Li-Ion_BESS,6,500000.0
Croatia,Li-Ion_BESS,7,500000.0
Hungary,Li-Ion_BESS,1,500000
Hungary,Li-Ion_BESS,2,500000.0
Hungary,Li-Ion_BESS,3,500000.0
Hungary,Li-Ion_BESS,4,500000.0
Hungary,Li-Ion_BESS,5,500000.0
Hungary,Li-Ion_BESS,6,500000.0
Hungary,Li-Ion_BESS,7,500000.0
Ireland,Li-Ion_BESS,1,500000
Ireland,Li-Ion_BESS,2,500000.0
Ireland,Li-Ion_BESS,3,500000.0
Ireland,Li-Ion_BESS,4,500000.0
Ireland,Li-Ion_BESS,5,500000.0
Ireland,Li-Ion_BESS,6,500000.0
Ireland,Li-Ion_BESS,7,500000.0
Italy,Li-Ion_BESS,1,500000
Italy,Li-Ion_BESS,2,500000.0
Italy,Li-Ion_BESS,3,500000.0
Italy,Li-Ion_BESS,4,500000.0
Italy,Li-Ion_BESS,5,500000.0
Italy,Li-Ion_BESS,6,500000.0
Italy,Li-Ion_BESS,7,500000.0
Lithuania,Li-Ion_BESS,1,500000
Lithuania,Li-Ion_BESS,2,500000.0
Lithuania,Li-Ion_BESS,3,500000.0
Lithuania,Li-Ion_BESS,4,500000.0
Lithuania,Li-Ion_BESS,5,500000.0
Lithuania,Li-Ion_BESS,6,500000.0
Lithuania,Li-Ion_BESS,7,500000.0
Luxemb.,Li-Ion_BESS,1,500000
Luxemb.,Li-Ion_BESS,2,500000.0
Luxemb.,Li-Ion_BESS,3,500000.0
Luxemb.,Li-Ion_BESS,4,500000.0
Luxemb.,Li-Ion_BESS,5,500000.0
Luxemb.,Li-Ion_BESS,6,500000.0
Luxemb.,Li-Ion_BESS,7,500000.0
Latvia,Li-Ion_BESS,1,500000
Latvia,Li-Ion_BESS,2,500000.0
Latvia,Li-Ion_BESS,3,500000.0
Latvia,Li-Ion_BESS,4,500000.0
Latvia,Li-Ion_BESS,5,500000.0
Latvia,Li-Ion_BESS,6,500000.0
Latvia,Li-Ion_BESS,7,500000.0
Macedonia,Li-Ion_BESS,1,500000
Macedonia,Li-Ion_BESS,2,500000.0
Macedonia,Li-Ion_BESS,3,500000.0
Macedonia,Li-Ion_BESS,4,500000.0
Macedonia,Li-Ion_BESS,5,500000.0
Macedonia,Li-Ion_BESS,6,500000.0
Macedonia,Li-Ion_BESS,7,500000.0
Netherlands,Li-Ion_BESS,1,500000
Netherlands,Li-Ion_BESS,2,500000.0
Netherlands,Li-Ion_BESS,3,500000.0
Netherlands,Li-Ion_BESS,4,500000.0
Netherlands,Li-Ion_BESS,5,500000.0
Netherlands,Li-Ion_BESS,6,500000.0
Netherlands,Li-Ion_BESS,7,500000.0
NO1,Li-Ion_BESS,1,500000
NO1,Li-Ion_BESS,2,500000.0
NO1,Li-Ion_BESS,3,500000.0
NO1,Li-Ion_BESS,4,500000.0
NO1,Li-Ion_BESS,5,500000.0
NO1,Li-Ion_BESS,6,500000.0
NO1,Li-Ion_BESS,7,500000.0
NO2,Li-Ion_BESS,1,500000
NO2,Li-Ion_BESS,2,500000.0
NO2,Li-Ion_BESS,3,500000.0
NO2,Li-Ion_BESS,4,500000.0
NO2,Li-Ion_BESS,5,500000.0
NO2,Li-Ion_BESS,6,500000.0
NO2,Li-Ion_BESS,7,500000.0
NO3,Li-Ion_BESS,1,500000
NO3,Li-Ion_BESS,2,500000.0
NO3,Li-Ion_BESS,3,500000.0
NO3,Li-Ion_BESS,4,500000.0
NO3,Li-Ion_BESS,5,500000.0
NO3,Li-Ion_BESS,6,500000.0
NO3,Li-Ion_BESS,7,500000.0
NO4,Li-Ion_BESS,1,500000
NO4,Li-Ion_BESS,2,500000.0
NO4,Li-Ion_BESS,3,500000.0
NO4,Li-Ion_BESS,4,500000.0
NO4,Li-Ion_BESS,5,500000.0
NO4,Li-Ion_BESS,6,500000.0
NO4,Li-Ion_BESS,7,500000.0
NO5,Li-Ion_BESS,1,500000
NO5,Li-Ion_BESS,2,500000.0
NO5,Li-Ion_BESS,3,500000.0
NO5,Li-Ion_BESS,4,500000.0
NO5,Li-Ion_BESS,5,500000.0
NO5,Li-Ion_BESS,6,500000.0
NO5,Li-Ion_BESS,7,500000.0
Poland,Li-Ion_BESS,1,500000
Poland,Li-Ion_BESS,2,500000.0
Poland,Li-Ion_BESS,3,500000.0
Poland,Li-Ion_BESS,4,500000.0
Poland,Li-Ion_BESS,5,500000.0
Poland,Li-Ion_BESS,6,500000.0
Poland,Li-Ion_BESS,7,500000.0
Portugal,Li-Ion_BESS,1,500000
Portugal,Li-Ion_BESS,2,500000.0
Portugal,Li-Ion_BESS,3,500000.0
Portugal,Li-Ion_BESS,4,500000.0
Portugal,Li-Ion_BESS,5,500000.0
Portugal,Li-Ion_BESS,6,500000.0
Portugal,Li-Ion_BESS,7,500000.0
Romania,Li-Ion_BESS,1,500000
Romania,Li-Ion_BESS,2,500000.0
Romania,Li-Ion_BESS,3,500000.0
Romania,Li-Ion_BESS,4,500000.0
Romania,Li-Ion_BESS,5,500000.0
Romania,Li-Ion_BESS,6,500000.0
Romania,Li-Ion_BESS,7,500000.0
Serbia,Li-Ion_BESS,1,500000
Serbia,Li-Ion_BESS,2,500000.0
Serbia,Li-Ion_BESS,3,500000.0
Serbia,Li-Ion_BESS,4,500000.0
Serbia,Li-Ion_BESS,5,500000.0
Serbia,Li-Ion_BESS,6,500000.0
Serbia,Li-Ion_BESS,7,500000.0
Sweden,Li-Ion_BESS,1,500000
Sweden,Li-Ion_BESS,2,500000.0
Sweden,Li-Ion_BESS,3,500000.0
Sweden,Li-Ion_BESS,4,500000.0
Sweden,Li-Ion_BESS,5,500000.0
Sweden,Li-Ion_BESS,6,500000.0
Sweden,Li-Ion_BESS,7,500000.0
Slovenia,Li-Ion_BESS,1,500000
Slovenia,Li-Ion_BESS,2,500000.0
Slovenia,Li-Ion_BESS,3,500000.0
Slovenia,Li-Ion_BESS,4,500000.0
Slovenia,Li-Ion_BESS,5,500000.0
Slovenia,Li-Ion_BESS,6,500000.0
Slovenia,Li-Ion_BESS,7,500000.0
Slovakia,Li-Ion_BESS,1,500000
Slovakia,Li-Ion_BESS,2,500000.0
Slovakia,Li-Ion_BESS,3,500000.0
Slovakia,Li-Ion_BESS,4,500000.0
Slovakia,Li-Ion_BESS,5,500000.0
Slovakia,Li-Ion_BESS,6,500000.0
Slovakia,Li-Ion_BESS,7,500000.0
