NodeFrom,NodeTo
SørligeNordsjøI,DoggerBank
SørligeNordsjøI,EastAnglia
SørligeNordsjøI,FirthofForth
SørligeNordsjøI,HelgoländerBucht
SørligeNordsjøI,HollandseeKust
SørligeNordsjøI,Hornsea
SørligeNordsjøI,MorayFirth
SørligeNordsjøI,NO2
SørligeNordsjøI,Nordsøen
SørligeNordsjøI,Norfolk
SørligeNordsjøI,OuterDowsing
SørligeNordsjøI,UtsiraNord
SørligeNordsjøII,Borssele
SørligeNordsjøII,DoggerBank
SørligeNordsjøII,EastAnglia
SørligeNordsjøII,FirthofForth
SørligeNordsjøII,HelgoländerBucht
SørligeNordsjøII,HollandseeKust
SørligeNordsjøII,Hornsea
SørligeNordsjøII,MorayFirth
SørligeNordsjøII,NO2
SørligeNordsjøII,Nordsøen
SørligeNordsjøII,Norfolk
SørligeNordsjøII,OuterDowsing
SørligeNordsjøII,SørligeNordsjøI
SørligeNordsjøII,UtsiraNord
Sweden,Denmark
Sweden,Estonia
Sweden,Finland
Sweden,Germany
Sweden,Latvia
Sweden,Lithuania
Sweden,NO1
Sweden,NO3
Sweden,NO4
Sweden,Poland
Switzerland,Austria
UtsiraNord,Borssele
UtsiraNord,DoggerBank
UtsiraNord,EastAnglia
UtsiraNord,FirthofForth
UtsiraNord,HelgoländerBucht
UtsiraNord,HollandseeKust
UtsiraNord,Hornsea
UtsiraNord,MorayFirth
UtsiraNord,NO2
UtsiraNord,Nordsøen
UtsiraNord,Norfolk
UtsiraNord,OuterDowsing
Austria,CzechR
Austria,Germany
Austria,Hungary
Austria,Italy
Austria,Slovakia
Austria,Slovenia
Austria,Switzerland
Belgium,Borssele
Belgium,EnergyhubEU
Belgium,France
Belgium,Germany
Belgium,GreatBrit.
Belgium,HollandseeKust
Belgium,Luxemb.
Belgium,Netherlands
Belgium,NO2
Borssele,EnergyhubEU
Borssele,HelgoländerBucht
Borssele,HollandseeKust
Borssele,Nordsøen
Borssele,SørligeNordsjøI
Borssele,SørligeNordsjøII
Borssele,UtsiraNord
BosniaH,Croatia
BosniaH,Italy
BosniaH,Serbia
Bulgaria,Greece
Bulgaria,Macedonia
Bulgaria,Romania
Bulgaria,Serbia
Croatia,Hungary
Croatia,Italy
Croatia,Serbia
Croatia,Slovenia
CzechR,Germany
CzechR,Poland
CzechR,Slovakia
Denmark,EnergyhubEU
Denmark,GreatBrit.
Denmark,Netherlands
Denmark,NO2
Denmark,Nordsøen
Denmark,Poland
Denmark,Sweden
DoggerBank,Borssele
DoggerBank,EastAnglia
DoggerBank,EnergyhubEU
DoggerBank,HelgoländerBucht
DoggerBank,HollandseeKust
DoggerBank,Hornsea
DoggerBank,Nordsøen
DoggerBank,Norfolk
DoggerBank,OuterDowsing
DoggerBank,SørligeNordsjøI
DoggerBank,SørligeNordsjøII
DoggerBank,UtsiraNord
Draupner,NO2
EastAnglia,Borssele
EastAnglia,EnergyhubEU
EastAnglia,HelgoländerBucht
EastAnglia,HollandseeKust
EastAnglia,Nordsøen
EastAnglia,SørligeNordsjøI
EastAnglia,SørligeNordsjøII
EastAnglia,UtsiraNord
Estonia,Finland
Estonia,Latvia
Estonia,Sweden
Finland,NO4
Finland,Sweden
FirthofForth,Borssele
FirthofForth,DoggerBank
FirthofForth,EastAnglia
FirthofForth,EnergyhubEU
FirthofForth,HelgoländerBucht
FirthofForth,HollandseeKust
FirthofForth,Hornsea
FirthofForth,Nordsøen
FirthofForth,Norfolk
FirthofForth,OuterDowsing
FirthofForth,SørligeNordsjøI
FirthofForth,SørligeNordsjøII
FirthofForth,UtsiraNord
France,GreatBrit.
France,Ireland
France,Italy
France,Luxemb.
France,NO2
Germany,Denmark
Germany,EnergyhubEU
Germany,France
Germany,GreatBrit.
Germany,HelgoländerBucht
Germany,Italy
Germany,Luxemb.
Germany,Netherlands
Germany,NO2
Germany,Poland
Germany,Sweden
GreatBrit.,DoggerBank
GreatBrit.,EastAnglia
GreatBrit.,EnergyhubEU
GreatBrit.,FirthofForth
GreatBrit.,Hornsea
GreatBrit.,Ireland
GreatBrit.,MorayFirth
GreatBrit.,Netherlands
GreatBrit.,NO2
GreatBrit.,NO5
GreatBrit.,Norfolk
GreatBrit.,OuterDowsing
Greece,Italy
Greece,Macedonia
HelgoländerBucht,EnergyhubEU
HelgoländerBucht,Nordsøen
HelgoländerBucht,SørligeNordsjøI
HelgoländerBucht,SørligeNordsjøII
HelgoländerBucht,UtsiraNord
HollandseeKust,EnergyhubEU
HollandseeKust,HelgoländerBucht
HollandseeKust,Nordsøen
HollandseeKust,SørligeNordsjøI
HollandseeKust,SørligeNordsjøII
HollandseeKust,UtsiraNord
Hornsea,Borssele
Hornsea,EastAnglia
Hornsea,EnergyhubEU
Hornsea,HelgoländerBucht
Hornsea,HollandseeKust
Hornsea,Nordsøen
Hornsea,Norfolk
Hornsea,OuterDowsing
Hornsea,SørligeNordsjøI
Hornsea,SørligeNordsjøII
Hornsea,UtsiraNord
Hungary,Poland
Hungary,Romania
Hungary,Serbia
Hungary,Slovakia
Hungary,Slovenia
Italy,Slovenia
Latvia,Sweden
Lithuania,Latvia
Lithuania,Poland
Lithuania,Sweden
Macedonia,Serbia
MorayFirth,Borssele
MorayFirth,DoggerBank
MorayFirth,EastAnglia
MorayFirth,EnergyhubEU
MorayFirth,FirthofForth
MorayFirth,HelgoländerBucht
MorayFirth,HollandseeKust
MorayFirth,Hornsea
MorayFirth,Nordsøen
MorayFirth,Norfolk
MorayFirth,OuterDowsing
MorayFirth,SørligeNordsjøI
MorayFirth,SørligeNordsjøII
MorayFirth,UtsiraNord
Netherlands,Borssele
Netherlands,EnergyhubEU
Netherlands,HelgoländerBucht
Netherlands,HollandseeKust
Netherlands,NO2
NO1,NO2
NO1,NO3
NO1,NO5
NO1,Sweden
NO2,EnergyhubEU
NO2,NO5
NO2,SørligeNordsjøI
NO2,SørligeNordsjøII
NO2,UtsiraNord
NO3,NO4
NO3,NO5
NO3,Sweden
NO4,Sweden
NO5,EnergyhubEU
Nordsøen,EnergyhubEU
Nordsøen,SørligeNordsjøI
Nordsøen,SørligeNordsjøII
Nordsøen,UtsiraNord
Norfolk,Borssele
Norfolk,EastAnglia
Norfolk,EnergyhubEU
Norfolk,HelgoländerBucht
Norfolk,HollandseeKust
Norfolk,Nordsøen
Norfolk,SørligeNordsjøI
Norfolk,SørligeNordsjøII
Norfolk,UtsiraNord
OuterDowsing,Borssele
OuterDowsing,EastAnglia
OuterDowsing,EnergyhubEU
OuterDowsing,HelgoländerBucht
OuterDowsing,HollandseeKust
OuterDowsing,Nordsøen
OuterDowsing,Norfolk
OuterDowsing,SørligeNordsjøI
OuterDowsing,SørligeNordsjøII
OuterDowsing,UtsiraNord
Poland,Slovakia
Poland,Sweden
Romania,Serbia
Sleipner,NO5
SørligeNordsjøI,EnergyhubEU
SørligeNordsjøI,SørligeNordsjøII
SørligeNordsjøII,EnergyhubEU
Spain,France
Spain,Ireland
Spain,Portugal
Switzerland,France
Switzerland,Germany
Switzerland,Italy
UtsiraNord,EnergyhubEU
UtsiraNord,SørligeNordsjøI
UtsiraNord,SørligeNordsjøII
