Node,Generator
Slovakia,CoalCCSadv
Slovenia,CoalCCSadv
Spain,CoalCCSadv
Sweden,CoalCCSadv
Austria,Coalexisting
BosniaH,Coalexisting
Bulgaria,Coalexisting
Croatia,Coalexisting
CzechR,Coalexisting
Denmark,Coalexisting
Finland,Coalexisting
France,Coalexisting
Germany,Coalexisting
GreatBrit.,Coalexisting
Hungary,Coalexisting
Ireland,Coalexisting
Italy,Coalexisting
Latvia,Coalexisting
Netherlands,Coalexisting
Poland,Coalexisting
Portugal,Coalexisting
Romania,Coalexisting
Slovakia,Coalexisting
Slovenia,Coalexisting
Spain,Coalexisting
Sweden,Coalexisting
Austria,GasCCGT
Belgium,GasCCGT
Bulgaria,GasCCGT
Croatia,GasCCGT
CzechR,GasCCGT
Denmark,GasCCGT
Estonia,GasCCGT
Finland,GasCCGT
France,GasCCGT
Germany,GasCCGT
GreatBrit.,GasCCGT
Greece,GasCCGT
Hungary,GasCCGT
Ireland,GasCCGT
Italy,GasCCGT
Latvia,GasCCGT
Lithuania,GasCCGT
Luxemb.,GasCCGT
Netherlands,GasCCGT
NO1,GasCCGT
NO2,GasCCGT
NO3,GasCCGT
NO4,GasCCGT
NO5,GasCCGT
Poland,GasCCGT
Portugal,GasCCGT
Romania,GasCCGT
Serbia,GasCCGT
Slovakia,GasCCGT
Slovenia,GasCCGT
Spain,GasCCGT
Sweden,GasCCGT
Switzerland,GasCCGT
France,GasCCS
Germany,GasCCS
GreatBrit.,GasCCS
Italy,GasCCS
Netherlands,GasCCS
NO1,GasCCS
NO2,GasCCS
NO3,GasCCS
NO4,GasCCS
NO5,GasCCS
Poland,GasCCS
Romania,GasCCS
Spain,GasCCS
Austria,GasCCSadv
Belgium,GasCCSadv
Bulgaria,GasCCSadv
Croatia,GasCCSadv
CzechR,GasCCSadv
Denmark,GasCCSadv
Estonia,GasCCSadv
Finland,GasCCSadv
France,GasCCSadv
Germany,GasCCSadv
GreatBrit.,GasCCSadv
Greece,GasCCSadv
Hungary,GasCCSadv
Ireland,GasCCSadv
Italy,GasCCSadv
Latvia,GasCCSadv
Lithuania,GasCCSadv
Luxemb.,GasCCSadv
Netherlands,GasCCSadv
NO1,GasCCSadv
NO2,GasCCSadv
NO3,GasCCSadv
NO4,GasCCSadv
NO5,GasCCSadv
Poland,GasCCSadv
Portugal,GasCCSadv
Romania,GasCCSadv
Serbia,GasCCSadv
Slovakia,GasCCSadv
Slovenia,GasCCSadv
Spain,GasCCSadv
Sweden,GasCCSadv
Switzerland,GasCCSadv
Austria,Gasexisting
Belgium,Gasexisting
Bulgaria,Gasexisting
Croatia,Gasexisting
CzechR,Gasexisting
Denmark,Gasexisting
Estonia,Gasexisting
Finland,Gasexisting
France,Gasexisting
Germany,Gasexisting
GreatBrit.,Gasexisting
Greece,Gasexisting
Hungary,Gasexisting
Ireland,Gasexisting
Italy,Gasexisting
Latvia,Gasexisting
Lithuania,Gasexisting
Luxemb.,Gasexisting
Macedonia,Gasexisting
Netherlands,Gasexisting
NO1,Gasexisting
NO2,Gasexisting
NO3,Gasexisting
NO4,Gasexisting
NO5,Gasexisting
Poland,Gasexisting
Portugal,Gasexisting
Romania,Gasexisting
Serbia,Gasexisting
Slovakia,Gasexisting
Slovenia,Gasexisting
Spain,Gasexisting
Sweden,Gasexisting
Austria,GasOCGT
Belgium,GasOCGT
Bulgaria,GasOCGT
Croatia,GasOCGT
CzechR,GasOCGT
Denmark,GasOCGT
Draupner,GasOCGT
Estonia,GasOCGT
Finland,GasOCGT
France,GasOCGT
Germany,GasOCGT
GreatBrit.,GasOCGT
Greece,GasOCGT
Hungary,GasOCGT
Ireland,GasOCGT
Italy,GasOCGT
Latvia,GasOCGT
Lithuania,GasOCGT
Luxemb.,GasOCGT
Macedonia,GasOCGT
Netherlands,GasOCGT
NO1,GasOCGT
NO2,GasOCGT
NO3,GasOCGT
NO4,GasOCGT
NO5,GasOCGT
Poland,GasOCGT
Portugal,GasOCGT
Romania,GasOCGT
Serbia,GasOCGT
Sleipner,GasOCGT
Slovakia,GasOCGT
Slovenia,GasOCGT
Spain,GasOCGT
Sweden,GasOCGT
Switzerland,GasOCGT
Austria,Geo
Croatia,Geo
CzechR,Geo
France,Geo
Germany,Geo
Greece,Geo
Hungary,Geo
Ireland,Geo
Italy,Geo
Latvia,Geo
Portugal,Geo
Slovakia,Geo
Austria,Hydroregulated
Belgium,Hydroregulated
BosniaH,Hydroregulated
Bulgaria,Hydroregulated
Croatia,Hydroregulated
CzechR,Hydroregulated
France,Hydroregulated
Germany,Hydroregulated
GreatBrit.,Hydroregulated
Greece,Hydroregulated
Hungary,Hydroregulated
Ireland,Hydroregulated
Italy,Hydroregulated
Lithuania,Hydroregulated
Luxemb.,Hydroregulated
Macedonia,Hydroregulated
NO1,Hydroregulated
NO2,Hydroregulated
NO3,Hydroregulated
NO4,Hydroregulated
NO5,Hydroregulated
Poland,Hydroregulated
Portugal,Hydroregulated
Romania,Hydroregulated
Serbia,Hydroregulated
Slovakia,Hydroregulated
Slovenia,Hydroregulated
Spain,Hydroregulated
Sweden,Hydroregulated
Switzerland,Hydroregulated
Austria,Hydrorun-of-the-river
Belgium,Hydrorun-of-the-river
BosniaH,Hydrorun-of-the-river
Bulgaria,Hydrorun-of-the-river
Croatia,Hydrorun-of-the-river
CzechR,Hydrorun-of-the-river
Denmark,Hydrorun-of-the-river
Estonia,Hydrorun-of-the-river
Finland,Hydrorun-of-the-river
France,Hydrorun-of-the-river
Germany,Hydrorun-of-the-river
GreatBrit.,Hydrorun-of-the-river
Greece,Hydrorun-of-the-river
Hungary,Hydrorun-of-the-river
Ireland,Hydrorun-of-the-river
Italy,Hydrorun-of-the-river
Latvia,Hydrorun-of-the-river
Lithuania,Hydrorun-of-the-river
Luxemb.,Hydrorun-of-the-river
Macedonia,Hydrorun-of-the-river
Netherlands,Hydrorun-of-the-river
NO1,Hydrorun-of-the-river
NO2,Hydrorun-of-the-river
NO3,Hydrorun-of-the-river
NO4,Hydrorun-of-the-river
NO5,Hydrorun-of-the-river
Poland,Hydrorun-of-the-river
Portugal,Hydrorun-of-the-river
Romania,Hydrorun-of-the-river
Serbia,Hydrorun-of-the-river
Slovakia,Hydrorun-of-the-river
Slovenia,Hydrorun-of-the-river
Spain,Hydrorun-of-the-river
Sweden,Hydrorun-of-the-river
Switzerland,Hydrorun-of-the-river
Austria,HydrogenCCGT
Belgium,HydrogenCCGT
Bulgaria,HydrogenCCGT
Croatia,HydrogenCCGT
CzechR,HydrogenCCGT
Denmark,HydrogenCCGT
Estonia,HydrogenCCGT
Finland,HydrogenCCGT
France,HydrogenCCGT
Germany,HydrogenCCGT
GreatBrit.,HydrogenCCGT
Greece,HydrogenCCGT
Hungary,HydrogenCCGT
Ireland,HydrogenCCGT
Italy,HydrogenCCGT
Latvia,HydrogenCCGT
Lithuania,HydrogenCCGT
Luxemb.,HydrogenCCGT
Netherlands,HydrogenCCGT
NO1,HydrogenCCGT
NO2,HydrogenCCGT
NO3,HydrogenCCGT
NO4,HydrogenCCGT
NO5,HydrogenCCGT
Poland,HydrogenCCGT
Portugal,HydrogenCCGT
Romania,HydrogenCCGT
Serbia,HydrogenCCGT
Slovakia,HydrogenCCGT
Slovenia,HydrogenCCGT
Spain,HydrogenCCGT
Sweden,HydrogenCCGT
Switzerland,HydrogenCCGT
Austria,Hydrogenfuelcell
Belgium,Hydrogenfuelcell
Bulgaria,Hydrogenfuelcell
Croatia,Hydrogenfuelcell
CzechR,Hydrogenfuelcell
Denmark,Hydrogenfuelcell
Estonia,Hydrogenfuelcell
Finland,Hydrogenfuelcell
France,Hydrogenfuelcell
Germany,Hydrogenfuelcell
GreatBrit.,Hydrogenfuelcell
Greece,Hydrogenfuelcell
Hungary,Hydrogenfuelcell
Ireland,Hydrogenfuelcell
Italy,Hydrogenfuelcell
Latvia,Hydrogenfuelcell
Lithuania,Hydrogenfuelcell
Luxemb.,Hydrogenfuelcell
Netherlands,Hydrogenfuelcell
NO1,Hydrogenfuelcell
NO2,Hydrogenfuelcell
NO3,Hydrogenfuelcell
NO4,Hydrogenfuelcell
NO5,Hydrogenfuelcell
Poland,Hydrogenfuelcell
Portugal,Hydrogenfuelcell
Romania,Hydrogenfuelcell
Serbia,Hydrogenfuelcell
Slovakia,Hydrogenfuelcell
Slovenia,Hydrogenfuelcell
Spain,Hydrogenfuelcell
Sweden,Hydrogenfuelcell
Switzerland,Hydrogenfuelcell
Austria,HydrogenOCGT
Belgium,HydrogenOCGT
Bulgaria,HydrogenOCGT
Croatia,HydrogenOCGT
CzechR,HydrogenOCGT
Denmark,HydrogenOCGT
Estonia,HydrogenOCGT
Finland,HydrogenOCGT
France,HydrogenOCGT
Germany,HydrogenOCGT
GreatBrit.,HydrogenOCGT
Greece,HydrogenOCGT
Hungary,HydrogenOCGT
Ireland,HydrogenOCGT
Italy,HydrogenOCGT
Latvia,HydrogenOCGT
Lithuania,HydrogenOCGT
Luxemb.,HydrogenOCGT
Netherlands,HydrogenOCGT
NO1,HydrogenOCGT
NO2,HydrogenOCGT
NO3,HydrogenOCGT
NO4,HydrogenOCGT
NO5,HydrogenOCGT
Poland,HydrogenOCGT
Portugal,HydrogenOCGT
Romania,HydrogenOCGT
Serbia,HydrogenOCGT
Slovakia,HydrogenOCGT
Slovenia,HydrogenOCGT
Spain,HydrogenOCGT
Sweden,HydrogenOCGT
Switzerland,HydrogenOCGT
BosniaH,Liginiteexisting
Bulgaria,Liginiteexisting
CzechR,Liginiteexisting
Estonia,Liginiteexisting
Finland,Liginiteexisting
Germany,Liginiteexisting
Greece,Liginiteexisting
Hungary,Liginiteexisting
Ireland,Liginiteexisting
Lithuania,Liginiteexisting
Macedonia,Liginiteexisting
Poland,Liginiteexisting
Romania,Liginiteexisting
Serbia,Liginiteexisting
Slovakia,Liginiteexisting
Slovenia,Liginiteexisting
Spain,Liginiteexisting
BosniaH,Lignite
Bulgaria,Lignite
CzechR,Lignite
Estonia,Lignite
Germany,Lignite
Greece,Lignite
Hungary,Lignite
Ireland,Lignite
Macedonia,Lignite
Poland,Lignite
Romania,Lignite
Serbia,Lignite
Slovakia,Lignite
Slovenia,Lignite
BosniaH,LigniteCCSadv
Bulgaria,LigniteCCSadv
CzechR,LigniteCCSadv
Estonia,LigniteCCSadv
Germany,LigniteCCSadv
Greece,LigniteCCSadv
Hungary,LigniteCCSadv
Ireland,LigniteCCSadv
Macedonia,LigniteCCSadv
Poland,LigniteCCSadv
Romania,LigniteCCSadv
Serbia,LigniteCCSadv
Slovakia,LigniteCCSadv
Slovenia,LigniteCCSadv
BosniaH,LigniteCCSsup
Germany,LigniteCCSsup
Poland,LigniteCCSsup
Romania,LigniteCCSsup
Slovenia,LigniteCCSsup
Belgium,Nuclear
Bulgaria,Nuclear
CzechR,Nuclear
Finland,Nuclear
France,Nuclear
Germany,Nuclear
GreatBrit.,Nuclear
Hungary,Nuclear
Lithuania,Nuclear
Netherlands,Nuclear
Poland,Nuclear
Romania,Nuclear
Slovakia,Nuclear
Slovenia,Nuclear
Spain,Nuclear
Sweden,Nuclear
Switzerland,Nuclear
Austria,Oilexisting
Belgium,Oilexisting
BosniaH,Oilexisting
Bulgaria,Oilexisting
Croatia,Oilexisting
CzechR,Oilexisting
Denmark,Oilexisting
Estonia,Oilexisting
Finland,Oilexisting
France,Oilexisting
Germany,Oilexisting
GreatBrit.,Oilexisting
Hungary,Oilexisting
Ireland,Oilexisting
Italy,Oilexisting
Latvia,Oilexisting
Lithuania,Oilexisting
Macedonia,Oilexisting
Poland,Oilexisting
Portugal,Oilexisting
Slovakia,Oilexisting
Slovenia,Oilexisting
Spain,Oilexisting
Sweden,Oilexisting
Switzerland,Oilexisting
Austria,Solar
Belgium,Solar
BosniaH,Solar
Bulgaria,Solar
Croatia,Solar
CzechR,Solar
Denmark,Solar
Estonia,Solar
Finland,Solar
France,Solar
Germany,Solar
GreatBrit.,Solar
Greece,Solar
Hungary,Solar
Ireland,Solar
Italy,Solar
Latvia,Solar
Lithuania,Solar
Luxemb.,Solar
Macedonia,Solar
Netherlands,Solar
NO1,Solar
NO2,Solar
NO3,Solar
NO4,Solar
NO5,Solar
Poland,Solar
Portugal,Solar
Romania,Solar
Serbia,Solar
Slovakia,Solar
Slovenia,Solar
Spain,Solar
Sweden,Solar
Switzerland,Solar
Austria,Waste
Belgium,Waste
BosniaH,Waste
Bulgaria,Waste
Croatia,Waste
CzechR,Waste
Denmark,Waste
Estonia,Waste
Finland,Waste
France,Waste
Germany,Waste
GreatBrit.,Waste
Greece,Waste
Hungary,Waste
Ireland,Waste
Italy,Waste
Latvia,Waste
Lithuania,Waste
Luxemb.,Waste
Macedonia,Waste
Netherlands,Waste
NO1,Waste
NO2,Waste
NO3,Waste
NO4,Waste
NO5,Waste
Poland,Waste
Portugal,Waste
Romania,Waste
Serbia,Waste
Slovakia,Waste
Slovenia,Waste
Spain,Waste
Sweden,Waste
Switzerland,Waste
Finland,Wave
France,Wave
GreatBrit.,Wave
Ireland,Wave
Portugal,Wave
Belgium,Windoffshorefloating
Borssele,Windoffshorefloating
Denmark,Windoffshorefloating
DoggerBank,Windoffshorefloating
EastAnglia,Windoffshorefloating
Estonia,Windoffshorefloating
Finland,Windoffshorefloating
FirthofForth,Windoffshorefloating
France,Windoffshorefloating
Germany,Windoffshorefloating
GreatBrit.,Windoffshorefloating
HelgoländerBucht,Windoffshorefloating
HollandseeKust,Windoffshorefloating
Hornsea,Windoffshorefloating
Ireland,Windoffshorefloating
Italy,Windoffshorefloating
Latvia,Windoffshorefloating
Lithuania,Windoffshorefloating
MorayFirth,Windoffshorefloating
Netherlands,Windoffshorefloating
Nordsøen,Windoffshorefloating
Norfolk,Windoffshorefloating
OuterDowsing,Windoffshorefloating
Poland,Windoffshorefloating
Portugal,Windoffshorefloating
Romania,Windoffshorefloating
SørligeNordsjøI,Windoffshorefloating
SørligeNordsjøII,Windoffshorefloating
Spain,Windoffshorefloating
Sweden,Windoffshorefloating
UtsiraNord,Windoffshorefloating
Belgium,Windoffshoregrounded
Borssele,Windoffshoregrounded
Denmark,Windoffshoregrounded
DoggerBank,Windoffshoregrounded
EastAnglia,Windoffshoregrounded
Estonia,Windoffshoregrounded
Finland,Windoffshoregrounded
FirthofForth,Windoffshoregrounded
France,Windoffshoregrounded
Germany,Windoffshoregrounded
GreatBrit.,Windoffshoregrounded
HelgoländerBucht,Windoffshoregrounded
HollandseeKust,Windoffshoregrounded
Hornsea,Windoffshoregrounded
Ireland,Windoffshoregrounded
Italy,Windoffshoregrounded
Latvia,Windoffshoregrounded
Lithuania,Windoffshoregrounded
MorayFirth,Windoffshoregrounded
Netherlands,Windoffshoregrounded
Nordsøen,Windoffshoregrounded
Norfolk,Windoffshoregrounded
OuterDowsing,Windoffshoregrounded
Poland,Windoffshoregrounded
Portugal,Windoffshoregrounded
Romania,Windoffshoregrounded
SørligeNordsjøI,Windoffshoregrounded
SørligeNordsjøII,Windoffshoregrounded
Spain,Windoffshoregrounded
Sweden,Windoffshoregrounded
UtsiraNord,Windoffshoregrounded
Austria,Windonshore
Belgium,Windonshore
BosniaH,Windonshore
Bulgaria,Windonshore
Croatia,Windonshore
CzechR,Windonshore
Denmark,Windonshore
Estonia,Windonshore
Finland,Windonshore
France,Windonshore
Germany,Windonshore
GreatBrit.,Windonshore
Greece,Windonshore
Hungary,Windonshore
Ireland,Windonshore
Italy,Windonshore
Latvia,Windonshore
Lithuania,Windonshore
Luxemb.,Windonshore
Macedonia,Windonshore
Netherlands,Windonshore
NO1,Windonshore
NO2,Windonshore
NO3,Windonshore
NO4,Windonshore
NO5,Windonshore
Poland,Windonshore
Portugal,Windonshore
Romania,Windonshore
Serbia,Windonshore
Slovakia,Windonshore
Slovenia,Windonshore
Spain,Windonshore
Sweden,Windonshore
Switzerland,Windonshore
