Nodes,StorageTypes,Period,col3,col4,col5,col6,col7
BosniaH,HydroPumpStorage,4,440,,,,
Bulgaria,HydroPumpStorage,4,864,,,,
Croatia,HydroPumpStorage,4,281,,,,
CzechR,HydroPumpStorage,4,1172,,,,
France,HydroPumpStorage,4,5065,,,,
Germany,HydroPumpStorage,4,9449,,,,
GreatBrit.,HydroPumpStorage,4,0,,,,
Greece,HydroPumpStorage,4,699,,,,
Hungary,HydroPumpStorage,4,0,,,,
Ireland,HydroPumpStorage,4,292,,,,
Italy,HydroPumpStorage,4,7256,,,,
Lithuania,HydroPumpStorage,4,900,,,,
Luxemb.,HydroPumpStorage,4,0,,,,
NO1,HydroPumpStorage,4,0,,,,
NO2,HydroPumpStorage,4,522,,,,
NO3,HydroPumpStorage,4,60,,,,
NO4,HydroPumpStorage,4,0,,,,
NO5,HydroPumpStorage,4,483,,,,
Poland,HydroPumpStorage,4,1591,,,,
Portugal,HydroPumpStorage,4,3707,,,,
Romania,HydroPumpStorage,4,0,,,,
Serbia,HydroPumpStorage,4,642,,,,
Slovakia,HydroPumpStorage,4,0,,,,
Slovenia,HydroPumpStorage,4,180,,,,
Spain,HydroPumpStorage,4,3418,,,,
Sweden,HydroPumpStorage,4,0,,,,
Switzerland,HydroPumpStorage,4,6697,,,,
Austria,HydroPumpStorage,5,3485,,,,
Belgium,HydroPumpStorage,5,1308,,,,
BosniaH,HydroPumpStorage,5,440,,,,
Bulgaria,HydroPumpStorage,5,864,,,,
Croatia,HydroPumpStorage,5,281,,,,
CzechR,HydroPumpStorage,5,1172,,,,
France,HydroPumpStorage,5,5065,,,,
Germany,HydroPumpStorage,5,9449,,,,
GreatBrit.,HydroPumpStorage,5,0,,,,
Greece,HydroPumpStorage,5,699,,,,
Hungary,HydroPumpStorage,5,0,,,,
Ireland,HydroPumpStorage,5,292,,,,
Italy,HydroPumpStorage,5,7256,,,,
Lithuania,HydroPumpStorage,5,900,,,,
Luxemb.,HydroPumpStorage,5,0,,,,
NO1,HydroPumpStorage,5,0,,,,
NO2,HydroPumpStorage,5,522,,,,
NO3,HydroPumpStorage,5,60,,,,
NO4,HydroPumpStorage,5,0,,,,
NO5,HydroPumpStorage,5,483,,,,
Poland,HydroPumpStorage,5,1591,,,,
Portugal,HydroPumpStorage,5,3707,,,,
Romania,HydroPumpStorage,5,0,,,,
Serbia,HydroPumpStorage,5,642,,,,
Slovakia,HydroPumpStorage,5,0,,,,
Slovenia,HydroPumpStorage,5,180,,,,
Spain,HydroPumpStorage,5,3418,,,,
Sweden,HydroPumpStorage,5,0,,,,
Switzerland,HydroPumpStorage,5,6697,,,,
Austria,HydroPumpStorage,6,3485,,,,
Belgium,HydroPumpStorage,6,1308,,,,
BosniaH,HydroPumpStorage,6,440,,,,
Bulgaria,HydroPumpStorage,6,864,,,,
Croatia,HydroPumpStorage,6,281,,,,
CzechR,HydroPumpStorage,6,1172,,,,
France,HydroPumpStorage,6,5065,,,,
Germany,HydroPumpStorage,6,9449,,,,
GreatBrit.,HydroPumpStorage,6,0,,,,
Greece,HydroPumpStorage,6,699,,,,
Hungary,HydroPumpStorage,6,0,,,,
Ireland,HydroPumpStorage,6,292,,,,
Italy,HydroPumpStorage,6,7256,,,,
Lithuania,HydroPumpStorage,6,900,,,,
Luxemb.,HydroPumpStorage,6,0,,,,
NO1,HydroPumpStorage,6,0,,,,
NO2,HydroPumpStorage,6,522,,,,
NO3,HydroPumpStorage,6,60,,,,
NO4,HydroPumpStorage,6,0,,,,
NO5,HydroPumpStorage,6,483,,,,
Poland,HydroPumpStorage,6,1591,,,,
Portugal,HydroPumpStorage,6,3707,,,,
Romania,HydroPumpStorage,6,0,,,,
Serbia,HydroPumpStorage,6,642,,,,
Slovakia,HydroPumpStorage,6,0,,,,
Slovenia,HydroPumpStorage,6,180,,,,
Spain,HydroPumpStorage,6,3418,,,,
Sweden,HydroPumpStorage,6,0,,,,
Switzerland,HydroPumpStorage,6,6697,,,,
Austria,HydroPumpStorage,7,3485,,,,
Belgium,HydroPumpStorage,7,1308,,,,
BosniaH,HydroPumpStorage,7,440,,,,
Bulgaria,HydroPumpStorage,7,864,,,,
Croatia,HydroPumpStorage,7,281,,,,
CzechR,HydroPumpStorage,7,1172,,,,
France,HydroPumpStorage,7,5065,,,,
Germany,HydroPumpStorage,7,9449,,,,
GreatBrit.,HydroPumpStorage,7,0,,,,
Greece,HydroPumpStorage,7,699,,,,
Hungary,HydroPumpStorage,7,0,,,,
Ireland,HydroPumpStorage,7,292,,,,
Italy,HydroPumpStorage,7,7256,,,,
Lithuania,HydroPumpStorage,7,900,,,,
Luxemb.,HydroPumpStorage,7,0,,,,
NO1,HydroPumpStorage,7,0,,,,
NO2,HydroPumpStorage,7,522,,,,
NO3,HydroPumpStorage,7,60,,,,
NO4,HydroPumpStorage,7,0,,,,
NO5,HydroPumpStorage,7,483,,,,
Poland,HydroPumpStorage,7,1591,,,,
Portugal,HydroPumpStorage,7,3707,,,,
Romania,HydroPumpStorage,7,0,,,,
Serbia,HydroPumpStorage,7,642,,,,
Slovakia,HydroPumpStorage,7,0,,,,
Slovenia,HydroPumpStorage,7,180,,,,
Spain,HydroPumpStorage,7,3418,,,,
Sweden,HydroPumpStorage,7,0,,,,
Switzerland,HydroPumpStorage,7,6697,,,,
