InterconnectorLinks,ToNode,Period,TransmissionMaxBuiltCapacity_in_MW
EastAnglia,MorayFirth,3,10000.0
EastAnglia,MorayFirth,4,10000.0
EastAnglia,MorayFirth,5,10000.0
EastAnglia,MorayFirth,6,10000.0
EastAnglia,MorayFirth,7,10000.0
EastAnglia,Hornsea,1,0
EastAnglia,Hornsea,2,10000.0
EastAnglia,Hornsea,3,10000.0
EastAnglia,Hornsea,4,10000.0
EastAnglia,Hornsea,5,10000.0
EastAnglia,Hornsea,6,10000.0
EastAnglia,Hornsea,7,10000.0
EastAnglia,GreatBrit.,1,10000
EastAnglia,GreatBrit.,2,10000.0
EastAnglia,GreatBrit.,3,10000.0
EastAnglia,GreatBrit.,4,10000.0
EastAnglia,GreatBrit.,5,10000.0
EastAnglia,GreatBrit.,6,10000.0
EastAnglia,GreatBrit.,7,10000.0
EastAnglia,FirthofForth,1,0
EastAnglia,FirthofForth,2,10000.0
EastAnglia,FirthofForth,3,10000.0
EastAnglia,FirthofForth,4,10000.0
EastAnglia,FirthofForth,5,10000.0
EastAnglia,FirthofForth,6,10000.0
EastAnglia,FirthofForth,7,10000.0
EastAnglia,DoggerBank,1,0
EastAnglia,DoggerBank,2,10000.0
EastAnglia,DoggerBank,3,10000.0
EastAnglia,DoggerBank,4,10000.0
EastAnglia,DoggerBank,5,10000.0
EastAnglia,DoggerBank,6,10000.0
EastAnglia,DoggerBank,7,10000.0
EnergyhubEU,UtsiraNord,1,0
EnergyhubEU,UtsiraNord,2,10000
EnergyhubEU,UtsiraNord,3,10000
EnergyhubEU,UtsiraNord,4,10000
EnergyhubEU,UtsiraNord,5,10000
EnergyhubEU,UtsiraNord,6,10000
EnergyhubEU,UtsiraNord,7,10000
EnergyhubEU,SørligeNordsjøII,1,0
EnergyhubEU,SørligeNordsjøII,2,10000
EnergyhubEU,SørligeNordsjøII,3,10000
EnergyhubEU,SørligeNordsjøII,4,10000
EnergyhubEU,SørligeNordsjøII,5,10000
EnergyhubEU,SørligeNordsjøII,6,10000
EnergyhubEU,SørligeNordsjøII,7,10000
EnergyhubEU,SørligeNordsjøI,1,0
EnergyhubEU,SørligeNordsjøI,2,10000
EnergyhubEU,SørligeNordsjøI,3,10000
EnergyhubEU,SørligeNordsjøI,4,10000
EnergyhubEU,SørligeNordsjøI,5,10000
EnergyhubEU,SørligeNordsjøI,6,10000
EnergyhubEU,SørligeNordsjøI,7,10000
EnergyhubEU,OuterDowsing,1,0
EnergyhubEU,OuterDowsing,2,10000
EnergyhubEU,OuterDowsing,3,10000
EnergyhubEU,OuterDowsing,4,10000
EnergyhubEU,OuterDowsing,5,10000
EnergyhubEU,OuterDowsing,6,10000
EnergyhubEU,OuterDowsing,7,10000
EnergyhubEU,Norfolk,1,0
EnergyhubEU,Norfolk,2,10000
EnergyhubEU,Norfolk,3,10000
EnergyhubEU,Norfolk,4,10000
EnergyhubEU,Norfolk,5,10000
EnergyhubEU,Norfolk,6,10000
EnergyhubEU,Norfolk,7,10000
EnergyhubEU,Nordsøen,1,0
EnergyhubEU,Nordsøen,2,10000
EnergyhubEU,Nordsøen,3,10000
EnergyhubEU,Nordsøen,4,10000
EnergyhubEU,Nordsøen,5,10000
EnergyhubEU,Nordsøen,6,10000
EnergyhubEU,Nordsøen,7,10000
EnergyhubEU,NO5,1,0
EnergyhubEU,NO5,2,10000
EnergyhubEU,NO5,3,10000
EnergyhubEU,NO5,4,10000
EnergyhubEU,NO5,5,10000
EnergyhubEU,NO5,6,10000
EnergyhubEU,NO5,7,10000
EnergyhubEU,NO2,1,0
EnergyhubEU,NO2,2,10000
EnergyhubEU,NO2,3,10000
EnergyhubEU,NO2,4,10000
EnergyhubEU,NO2,5,10000
EnergyhubEU,NO2,6,10000
EnergyhubEU,NO2,7,10000
EnergyhubEU,Netherlands,1,0
EnergyhubEU,Netherlands,2,10000
EnergyhubEU,Netherlands,3,10000
EnergyhubEU,Netherlands,4,10000
EnergyhubEU,Netherlands,5,10000
EnergyhubEU,Netherlands,6,10000
EnergyhubEU,Netherlands,7,10000
EnergyhubEU,MorayFirth,1,0
EnergyhubEU,MorayFirth,2,10000
EnergyhubEU,MorayFirth,3,10000
EnergyhubEU,MorayFirth,4,10000
EnergyhubEU,MorayFirth,5,10000
EnergyhubEU,MorayFirth,6,10000
EnergyhubEU,MorayFirth,7,10000
EnergyhubEU,Hornsea,1,0
EnergyhubEU,Hornsea,2,10000
EnergyhubEU,Hornsea,3,10000
EnergyhubEU,Hornsea,4,10000
EnergyhubEU,Hornsea,5,10000
EnergyhubEU,Hornsea,6,10000
EnergyhubEU,Hornsea,7,10000
EnergyhubEU,HollandseeKust,1,0
EnergyhubEU,HollandseeKust,2,10000
EnergyhubEU,HollandseeKust,3,10000
EnergyhubEU,HollandseeKust,4,10000
EnergyhubEU,HollandseeKust,5,10000
EnergyhubEU,HollandseeKust,6,10000
EnergyhubEU,HollandseeKust,7,10000
EnergyhubEU,HelgoländerBucht,1,0
EnergyhubEU,HelgoländerBucht,2,10000
EnergyhubEU,HelgoländerBucht,3,10000
EnergyhubEU,HelgoländerBucht,4,10000
EnergyhubEU,HelgoländerBucht,5,10000
EnergyhubEU,HelgoländerBucht,6,10000
EnergyhubEU,HelgoländerBucht,7,10000
EnergyhubEU,GreatBrit.,1,0
EnergyhubEU,GreatBrit.,2,10000
EnergyhubEU,GreatBrit.,3,10000
EnergyhubEU,GreatBrit.,4,10000
EnergyhubEU,GreatBrit.,5,10000
EnergyhubEU,GreatBrit.,6,10000
EnergyhubEU,GreatBrit.,7,10000
EnergyhubEU,Germany,1,10000
EnergyhubEU,Germany,2,10000
EnergyhubEU,Germany,3,10000
EnergyhubEU,Germany,4,10000
EnergyhubEU,Germany,5,10000
EnergyhubEU,Germany,6,10000
EnergyhubEU,Germany,7,10000
EnergyhubEU,FirthofForth,1,0
EnergyhubEU,FirthofForth,2,10000
EnergyhubEU,FirthofForth,3,10000
EnergyhubEU,FirthofForth,4,10000
EnergyhubEU,FirthofForth,5,10000
EnergyhubEU,FirthofForth,6,10000
EnergyhubEU,FirthofForth,7,10000
EnergyhubEU,EastAnglia,1,0
EnergyhubEU,EastAnglia,2,10000
EnergyhubEU,EastAnglia,3,10000
EnergyhubEU,EastAnglia,4,10000
EnergyhubEU,EastAnglia,5,10000
EnergyhubEU,EastAnglia,6,10000
EnergyhubEU,EastAnglia,7,10000
EnergyhubEU,DoggerBank,1,0
EnergyhubEU,DoggerBank,2,10000
EnergyhubEU,DoggerBank,3,10000
EnergyhubEU,DoggerBank,4,10000
EnergyhubEU,DoggerBank,5,10000
EnergyhubEU,DoggerBank,6,10000
EnergyhubEU,DoggerBank,7,10000
EnergyhubEU,Denmark,1,0
EnergyhubEU,Denmark,2,10000
EnergyhubEU,Denmark,3,10000
EnergyhubEU,Denmark,4,10000
EnergyhubEU,Denmark,5,10000
EnergyhubEU,Denmark,6,10000
EnergyhubEU,Denmark,7,10000
EnergyhubEU,Borssele,1,0
EnergyhubEU,Borssele,2,10000
EnergyhubEU,Borssele,3,10000
EnergyhubEU,Borssele,4,10000
EnergyhubEU,Borssele,5,10000
EnergyhubEU,Borssele,6,10000
EnergyhubEU,Borssele,7,10000
EnergyhubEU,Belgium,1,0
EnergyhubEU,Belgium,2,10000
EnergyhubEU,Belgium,3,10000
EnergyhubEU,Belgium,4,10000
EnergyhubEU,Belgium,5,10000
EnergyhubEU,Belgium,6,10000
EnergyhubEU,Belgium,7,10000
Finland,Estonia,1,0
Finland,Estonia,2,10000.0
Finland,Estonia,3,10000.0
Finland,Estonia,4,10000.0
Finland,Estonia,5,10000.0
Finland,Estonia,6,10000.0
Finland,Estonia,7,10000.0
FirthofForth,MorayFirth,1,0
FirthofForth,MorayFirth,2,10000.0
FirthofForth,MorayFirth,3,10000.0
FirthofForth,MorayFirth,4,10000.0
FirthofForth,MorayFirth,5,10000.0
FirthofForth,MorayFirth,6,10000.0
FirthofForth,MorayFirth,7,10000.0
FirthofForth,GreatBrit.,1,10000
FirthofForth,GreatBrit.,2,10000.0
FirthofForth,GreatBrit.,3,10000.0
FirthofForth,GreatBrit.,4,10000.0
FirthofForth,GreatBrit.,5,10000.0
FirthofForth,GreatBrit.,6,10000.0
FirthofForth,GreatBrit.,7,10000.0
France,Switzerland,1,0
France,Switzerland,2,10000.0
France,Switzerland,3,10000.0
France,Switzerland,4,10000.0
France,Switzerland,5,10000.0
France,Switzerland,6,10000.0
France,Switzerland,7,10000.0
France,Spain,1,0
France,Spain,2,10000.0
France,Spain,3,10000.0
France,Spain,4,10000.0
France,Spain,5,10000.0
France,Spain,6,10000.0
France,Spain,7,10000.0
France,Germany,1,0
France,Germany,2,10000.0
France,Germany,3,10000.0
France,Germany,4,10000.0
France,Germany,5,10000.0
France,Germany,6,10000.0
France,Germany,7,10000.0
France,Belgium,1,0
France,Belgium,2,10000.0
France,Belgium,3,10000.0
France,Belgium,4,10000.0
France,Belgium,5,10000.0
France,Belgium,6,10000.0
France,Belgium,7,10000.0
Germany,Switzerland,1,0
Germany,Switzerland,2,10000.0
Germany,Switzerland,3,10000.0
Germany,Switzerland,4,10000.0
Germany,Switzerland,5,10000.0
Germany,Switzerland,6,10000.0
Germany,Switzerland,7,10000.0
Germany,CzechR,1,0
Germany,CzechR,2,10000.0
Germany,CzechR,3,10000.0
Germany,CzechR,4,10000.0
Germany,CzechR,5,10000.0
Germany,CzechR,6,10000.0
Germany,CzechR,7,10000.0
Germany,Belgium,1,0
Germany,Belgium,2,10000.0
Germany,Belgium,3,10000.0
Germany,Belgium,4,10000.0
Germany,Belgium,5,10000.0
Germany,Belgium,6,10000.0
Germany,Belgium,7,10000.0
Germany,Austria,1,0
Germany,Austria,2,10000.0
Germany,Austria,3,10000.0
Germany,Austria,4,10000.0
Germany,Austria,5,10000.0
Germany,Austria,6,10000.0
Germany,Austria,7,10000.0
GreatBrit.,France,1,0
GreatBrit.,France,2,10000.0
GreatBrit.,France,3,10000.0
GreatBrit.,France,4,10000.0
GreatBrit.,France,5,10000.0
GreatBrit.,France,6,10000.0
GreatBrit.,France,7,10000.0
GreatBrit.,Denmark,1,0
GreatBrit.,Denmark,2,10000.0
GreatBrit.,Denmark,3,10000.0
GreatBrit.,Denmark,4,10000.0
GreatBrit.,Denmark,5,10000.0
GreatBrit.,Denmark,6,10000.0
GreatBrit.,Denmark,7,10000.0
GreatBrit.,Belgium,1,0
GreatBrit.,Belgium,2,10000.0
GreatBrit.,Belgium,3,10000.0
GreatBrit.,Belgium,4,10000.0
GreatBrit.,Belgium,5,10000.0
GreatBrit.,Belgium,6,10000.0
GreatBrit.,Belgium,7,10000.0
Greece,Bulgaria,1,0
Greece,Bulgaria,2,10000.0
Greece,Bulgaria,3,10000.0
Greece,Bulgaria,4,10000.0
Greece,Bulgaria,5,10000.0
Greece,Bulgaria,6,10000.0
Greece,Bulgaria,7,10000.0
HelgoländerBucht,OuterDowsing,1,0
HelgoländerBucht,OuterDowsing,2,10000.0
HelgoländerBucht,OuterDowsing,3,10000.0
HelgoländerBucht,OuterDowsing,4,10000.0
HelgoländerBucht,OuterDowsing,5,10000.0
HelgoländerBucht,OuterDowsing,6,10000.0
HelgoländerBucht,OuterDowsing,7,10000.0
HelgoländerBucht,Norfolk,1,0
HelgoländerBucht,Norfolk,2,10000.0
HelgoländerBucht,Norfolk,3,10000.0
HelgoländerBucht,Norfolk,4,10000.0
HelgoländerBucht,Norfolk,5,10000.0
HelgoländerBucht,Norfolk,6,10000.0
HelgoländerBucht,Norfolk,7,10000.0
HelgoländerBucht,Netherlands,1,10000
HelgoländerBucht,Netherlands,2,10000
HelgoländerBucht,Netherlands,3,10000
HelgoländerBucht,Netherlands,4,10000
HelgoländerBucht,Netherlands,5,10000
HelgoländerBucht,Netherlands,6,10000
HelgoländerBucht,Netherlands,7,10000
HelgoländerBucht,MorayFirth,1,0
HelgoländerBucht,MorayFirth,2,10000.0
HelgoländerBucht,MorayFirth,3,10000.0
HelgoländerBucht,MorayFirth,4,10000.0
HelgoländerBucht,MorayFirth,5,10000.0
HelgoländerBucht,MorayFirth,6,10000.0
HelgoländerBucht,MorayFirth,7,10000.0
HelgoländerBucht,Hornsea,1,0
HelgoländerBucht,Hornsea,2,10000.0
HelgoländerBucht,Hornsea,3,10000.0
HelgoländerBucht,Hornsea,4,10000.0
HelgoländerBucht,Hornsea,5,10000.0
HelgoländerBucht,Hornsea,6,10000.0
HelgoländerBucht,Hornsea,7,10000.0
HelgoländerBucht,HollandseeKust,1,0
HelgoländerBucht,HollandseeKust,2,10000.0
HelgoländerBucht,HollandseeKust,3,10000.0
HelgoländerBucht,HollandseeKust,4,10000.0
HelgoländerBucht,HollandseeKust,5,10000.0
HelgoländerBucht,HollandseeKust,6,10000.0
HelgoländerBucht,HollandseeKust,7,10000.0
HelgoländerBucht,Germany,1,10000
HelgoländerBucht,Germany,2,10000
HelgoländerBucht,Germany,3,10000
HelgoländerBucht,Germany,4,10000
HelgoländerBucht,Germany,5,10000
HelgoländerBucht,Germany,6,10000
HelgoländerBucht,Germany,7,10000
HelgoländerBucht,FirthofForth,1,0
HelgoländerBucht,FirthofForth,2,10000.0
HelgoländerBucht,FirthofForth,3,10000.0
HelgoländerBucht,FirthofForth,4,10000.0
HelgoländerBucht,FirthofForth,5,10000.0
HelgoländerBucht,FirthofForth,6,10000.0
HelgoländerBucht,FirthofForth,7,10000.0
HelgoländerBucht,EastAnglia,1,0
HelgoländerBucht,EastAnglia,2,10000.0
HelgoländerBucht,EastAnglia,3,10000.0
HelgoländerBucht,EastAnglia,4,10000.0
HelgoländerBucht,EastAnglia,5,10000.0
HelgoländerBucht,EastAnglia,6,10000.0
HelgoländerBucht,EastAnglia,7,10000.0
HelgoländerBucht,DoggerBank,1,0
HelgoländerBucht,DoggerBank,2,10000.0
HelgoländerBucht,DoggerBank,3,10000.0
HelgoländerBucht,DoggerBank,4,10000.0
HelgoländerBucht,DoggerBank,5,10000.0
HelgoländerBucht,DoggerBank,6,10000.0
HelgoländerBucht,DoggerBank,7,10000.0
HelgoländerBucht,Borssele,1,0
HelgoländerBucht,Borssele,2,10000.0
HelgoländerBucht,Borssele,3,10000.0
HelgoländerBucht,Borssele,4,10000.0
HelgoländerBucht,Borssele,5,10000.0
HelgoländerBucht,Borssele,6,10000.0
HelgoländerBucht,Borssele,7,10000.0
HollandseeKust,OuterDowsing,1,0
HollandseeKust,OuterDowsing,2,10000.0
HollandseeKust,OuterDowsing,3,10000.0
HollandseeKust,OuterDowsing,4,10000.0
HollandseeKust,OuterDowsing,5,10000.0
HollandseeKust,OuterDowsing,6,10000.0
HollandseeKust,OuterDowsing,7,10000.0
HollandseeKust,Norfolk,1,0
HollandseeKust,Norfolk,2,10000.0
HollandseeKust,Norfolk,3,10000.0
HollandseeKust,Norfolk,4,10000.0
HollandseeKust,Norfolk,5,10000.0
HollandseeKust,Norfolk,6,10000.0
HollandseeKust,Norfolk,7,10000.0
HollandseeKust,Netherlands,1,10000
HollandseeKust,Netherlands,2,10000
HollandseeKust,Netherlands,3,10000
HollandseeKust,Netherlands,4,10000
HollandseeKust,Netherlands,5,10000
HollandseeKust,Netherlands,6,10000
HollandseeKust,Netherlands,7,10000
HollandseeKust,MorayFirth,1,0
HollandseeKust,MorayFirth,2,10000.0
HollandseeKust,MorayFirth,3,10000.0
HollandseeKust,MorayFirth,4,10000.0
HollandseeKust,MorayFirth,5,10000.0
HollandseeKust,MorayFirth,6,10000.0
HollandseeKust,MorayFirth,7,10000.0
HollandseeKust,Hornsea,1,0
HollandseeKust,Hornsea,2,10000.0
HollandseeKust,Hornsea,3,10000.0
HollandseeKust,Hornsea,4,10000.0
HollandseeKust,Hornsea,5,10000.0
HollandseeKust,Hornsea,6,10000.0
HollandseeKust,Hornsea,7,10000.0
HollandseeKust,FirthofForth,1,0
HollandseeKust,FirthofForth,2,10000.0
HollandseeKust,FirthofForth,3,10000.0
HollandseeKust,FirthofForth,4,10000.0
HollandseeKust,FirthofForth,5,10000.0
HollandseeKust,FirthofForth,6,10000.0
HollandseeKust,FirthofForth,7,10000.0
HollandseeKust,EastAnglia,1,0
HollandseeKust,EastAnglia,2,10000.0
HollandseeKust,EastAnglia,3,10000.0
HollandseeKust,EastAnglia,4,10000.0
HollandseeKust,EastAnglia,5,10000.0
HollandseeKust,EastAnglia,6,10000.0
HollandseeKust,EastAnglia,7,10000.0
HollandseeKust,DoggerBank,1,0
HollandseeKust,DoggerBank,2,10000.0
HollandseeKust,DoggerBank,3,10000.0
HollandseeKust,DoggerBank,4,10000.0
HollandseeKust,DoggerBank,5,10000.0
HollandseeKust,DoggerBank,6,10000.0
HollandseeKust,DoggerBank,7,10000.0
HollandseeKust,Borssele,1,0
HollandseeKust,Borssele,2,10000.0
HollandseeKust,Borssele,3,10000.0
HollandseeKust,Borssele,4,10000.0
HollandseeKust,Borssele,5,10000.0
HollandseeKust,Borssele,6,10000.0
HollandseeKust,Borssele,7,10000.0
HollandseeKust,Belgium,1,10000
HollandseeKust,Belgium,2,10000
HollandseeKust,Belgium,3,10000
HollandseeKust,Belgium,4,10000
HollandseeKust,Belgium,5,10000
HollandseeKust,Belgium,6,10000
HollandseeKust,Belgium,7,10000
Hornsea,MorayFirth,1,0
Hornsea,MorayFirth,2,10000.0
Hornsea,MorayFirth,3,10000.0
Hornsea,MorayFirth,4,10000.0
Hornsea,MorayFirth,5,10000.0
Hornsea,MorayFirth,6,10000.0
Hornsea,MorayFirth,7,10000.0
Hornsea,GreatBrit.,1,10000
Hornsea,GreatBrit.,2,10000.0
Hornsea,GreatBrit.,3,10000.0
Hornsea,GreatBrit.,4,10000.0
Hornsea,GreatBrit.,5,10000.0
Hornsea,GreatBrit.,6,10000.0
Hornsea,GreatBrit.,7,10000.0
Hornsea,FirthofForth,1,0
Hornsea,FirthofForth,2,10000.0
Hornsea,FirthofForth,3,10000.0
Hornsea,FirthofForth,4,10000.0
Hornsea,FirthofForth,5,10000.0
Hornsea,FirthofForth,6,10000.0
Hornsea,FirthofForth,7,10000.0
Hornsea,DoggerBank,1,0
Hornsea,DoggerBank,2,10000.0
Hornsea,DoggerBank,3,10000.0
Hornsea,DoggerBank,4,10000.0
Hornsea,DoggerBank,5,10000.0
Hornsea,DoggerBank,6,10000.0
Hornsea,DoggerBank,7,10000.0
Hungary,Croatia,1,0
Hungary,Croatia,2,10000.0
Hungary,Croatia,3,10000.0
Hungary,Croatia,4,10000.0
Hungary,Croatia,5,10000.0
Hungary,Croatia,6,10000.0
Hungary,Croatia,7,10000.0
Hungary,Austria,1,0
Hungary,Austria,2,10000.0
Hungary,Austria,3,10000.0
Hungary,Austria,4,10000.0
Hungary,Austria,5,10000.0
Hungary,Austria,6,10000.0
Hungary,Austria,7,10000.0
Ireland,Spain,1,0
Ireland,Spain,2,10000.0
Ireland,Spain,3,10000.0
Ireland,Spain,4,10000.0
Ireland,Spain,5,10000.0
Ireland,Spain,6,10000.0
Ireland,Spain,7,10000.0
Ireland,GreatBrit.,1,0
Ireland,GreatBrit.,2,10000.0
Ireland,GreatBrit.,3,10000.0
Ireland,GreatBrit.,4,10000.0
Ireland,GreatBrit.,5,10000.0
Ireland,GreatBrit.,6,10000.0
Ireland,GreatBrit.,7,10000.0
Ireland,France,1,0
Ireland,France,2,10000.0
Ireland,France,3,10000.0
Ireland,France,4,10000.0
Ireland,France,5,10000.0
Ireland,France,6,10000.0
Ireland,France,7,10000.0
Italy,Switzerland,1,0
Italy,Switzerland,2,10000.0
Italy,Switzerland,3,10000.0
Italy,Switzerland,4,10000.0
Italy,Switzerland,5,10000.0
Italy,Switzerland,6,10000.0
Italy,Switzerland,7,10000.0
Italy,Greece,1,0
Italy,Greece,2,10000.0
Italy,Greece,3,10000.0
Italy,Greece,4,10000.0
Italy,Greece,5,10000.0
Italy,Greece,6,10000.0
Italy,Greece,7,10000.0
Italy,Germany,1,0
Italy,Germany,2,10000.0
Italy,Germany,3,10000.0
Italy,Germany,4,10000.0
Italy,Germany,5,10000.0
Italy,Germany,6,10000.0
Italy,Germany,7,10000.0
Italy,France,1,0
Italy,France,2,10000.0
Italy,France,3,10000.0
Italy,France,4,10000.0
Italy,France,5,10000.0
Italy,France,6,10000.0
Italy,France,7,10000.0
Italy,Croatia,1,0
Italy,Croatia,2,10000.0
Italy,Croatia,3,10000.0
Italy,Croatia,4,10000.0
Italy,Croatia,5,10000.0
Italy,Croatia,6,10000.0
Italy,Croatia,7,10000.0
Italy,BosniaH,1,0
Italy,BosniaH,2,10000.0
Italy,BosniaH,3,10000.0
Italy,BosniaH,4,10000.0
Italy,BosniaH,5,10000.0
Italy,BosniaH,6,10000.0
Italy,BosniaH,7,10000.0
Italy,Austria,1,0
Italy,Austria,2,10000.0
Italy,Austria,3,10000.0
Italy,Austria,4,10000.0
Italy,Austria,5,10000.0
Italy,Austria,6,10000.0
Italy,Austria,7,10000.0
Latvia,Lithuania,1,0
Latvia,Lithuania,2,10000.0
Latvia,Lithuania,3,10000.0
Latvia,Lithuania,4,10000.0
Latvia,Lithuania,5,10000.0
Latvia,Lithuania,6,10000.0
Latvia,Lithuania,7,10000.0
Latvia,Estonia,1,0
Latvia,Estonia,2,10000.0
Latvia,Estonia,3,10000.0
Latvia,Estonia,4,10000.0
Latvia,Estonia,5,10000.0
Latvia,Estonia,6,10000.0
Latvia,Estonia,7,10000.0
Luxemb.,Germany,1,0
Luxemb.,Germany,2,10000.0
Luxemb.,Germany,3,10000.0
Luxemb.,Germany,4,10000.0
Luxemb.,Germany,5,10000.0
Luxemb.,Germany,6,10000.0
Luxemb.,Germany,7,10000.0
Luxemb.,France,1,0
Luxemb.,France,2,10000.0
Luxemb.,France,3,10000.0
Luxemb.,France,4,10000.0
Luxemb.,France,5,10000.0
Luxemb.,France,6,10000.0
Luxemb.,France,7,10000.0
Luxemb.,Belgium,1,0
Luxemb.,Belgium,2,10000.0
Luxemb.,Belgium,3,10000.0
Luxemb.,Belgium,4,10000.0
Luxemb.,Belgium,5,10000.0
Luxemb.,Belgium,6,10000.0
Luxemb.,Belgium,7,10000.0
Macedonia,Greece,1,0
Macedonia,Greece,2,10000.0
Macedonia,Greece,3,10000.0
Macedonia,Greece,4,10000.0
Macedonia,Greece,5,10000.0
Macedonia,Greece,6,10000.0
Macedonia,Greece,7,10000.0
Macedonia,Bulgaria,1,0
Macedonia,Bulgaria,2,10000.0
Macedonia,Bulgaria,3,10000.0
Macedonia,Bulgaria,4,10000.0
Macedonia,Bulgaria,5,10000.0
Macedonia,Bulgaria,6,10000.0
Macedonia,Bulgaria,7,10000.0
MorayFirth,GreatBrit.,1,10000
MorayFirth,GreatBrit.,2,10000.0
MorayFirth,GreatBrit.,3,10000.0
MorayFirth,GreatBrit.,4,10000.0
MorayFirth,GreatBrit.,5,10000.0
MorayFirth,GreatBrit.,6,10000.0
MorayFirth,GreatBrit.,7,10000.0
Netherlands,GreatBrit.,1,0
Netherlands,GreatBrit.,2,10000.0
Netherlands,GreatBrit.,3,10000.0
Netherlands,GreatBrit.,4,10000.0
Netherlands,GreatBrit.,5,10000.0
Netherlands,GreatBrit.,6,10000.0
Netherlands,GreatBrit.,7,10000.0
Netherlands,Germany,1,0
Netherlands,Germany,2,10000.0
