Node,GeneratorTechnology,Period,generatorMaxInstalledCapacityByPeriod_in_MW
Denmark,Wind_offshr_grounded,4,14001
DoggerBank,Wind_offshr_grounded,4,12167
EastAnglia,Wind_offshr_grounded,4,8684
Estonia,Wind_offshr_grounded,4,420
Finland,Wind_offshr_grounded,4,3065
FirthofForth,Wind_offshr_grounded,4,4340
France,Wind_offshr_grounded,4,9057
Germany,Wind_offshr_grounded,4,38833
GreatBrit.,Wind_offshr_grounded,4,0
HelgoländerBucht,Wind_offshr_grounded,4,29526
HollandseeKust,Wind_offshr_grounded,4,2885
Hornsea,Wind_offshr_grounded,4,8651
Ireland,Wind_offshr_grounded,4,3118
Italy,Wind_offshr_grounded,4,2975
Latvia,Wind_offshr_grounded,4,576
Lithuania,Wind_offshr_grounded,4,462
MorayFirth,Wind_offshr_grounded,4,7436
NO2,Wind_offshr_grounded,4,0
Netherlands,Wind_offshr_grounded,4,4776
Nordsøen,Wind_offshr_grounded,4,5831
Norfolk,Wind_offshr_grounded,4,1026
OuterDowsing,Wind_offshr_grounded,4,8637
Poland,Wind_offshr_grounded,4,1260
Portugal,Wind_offshr_grounded,4,2430
Spain,Wind_offshr_grounded,4,2704
Sweden,Wind_offshr_grounded,4,2946
SørligeNordsjøI,Wind_offshr_grounded,4,82
SørligeNordsjøII,Wind_offshr_grounded,4,52
UtsiraNord,Wind_offshr_grounded,4,0
Belgium,Wind_offshr_grounded,5,6398
Borssele,Wind_offshr_grounded,5,30327
Denmark,Wind_offshr_grounded,5,21828
DoggerBank,Wind_offshr_grounded,5,15701
EastAnglia,Wind_offshr_grounded,5,10925
Estonia,Wind_offshr_grounded,5,767
Finland,Wind_offshr_grounded,5,5382
FirthofForth,Wind_offshr_grounded,5,5875
France,Wind_offshr_grounded,5,15184
Germany,Wind_offshr_grounded,5,45217
GreatBrit.,Wind_offshr_grounded,5,0
HelgoländerBucht,Wind_offshr_grounded,5,33084
HollandseeKust,Wind_offshr_grounded,5,4249
Hornsea,Wind_offshr_grounded,5,11193
Ireland,Wind_offshr_grounded,5,5322
Italy,Wind_offshr_grounded,5,5089
Latvia,Wind_offshr_grounded,5,1280
Lithuania,Wind_offshr_grounded,5,885
MorayFirth,Wind_offshr_grounded,5,9336
NO2,Wind_offshr_grounded,5,0
Netherlands,Wind_offshr_grounded,5,9136
Nordsøen,Wind_offshr_grounded,5,9045
Norfolk,Wind_offshr_grounded,5,1716
OuterDowsing,Wind_offshr_grounded,5,10840
Poland,Wind_offshr_grounded,5,3176
Portugal,Wind_offshr_grounded,5,3659
Spain,Wind_offshr_grounded,5,4404
Sweden,Wind_offshr_grounded,5,5171
SørligeNordsjøI,Wind_offshr_grounded,5,189
SørligeNordsjøII,Wind_offshr_grounded,5,119
UtsiraNord,Wind_offshr_grounded,5,0
Belgium,Wind_offshr_grounded,6,7016
Borssele,Wind_offshr_grounded,6,34213
Denmark,Wind_offshr_grounded,6,31126
DoggerBank,Wind_offshr_grounded,6,18721
EastAnglia,Wind_offshr_grounded,6,12673
Estonia,Wind_offshr_grounded,6,1193
Finland,Wind_offshr_grounded,6,9033
FirthofForth,Wind_offshr_grounded,6,7349
France,Wind_offshr_grounded,6,23398
Germany,Wind_offshr_grounded,6,48686
GreatBrit.,Wind_offshr_grounded,6,0
HelgoländerBucht,Wind_offshr_grounded,6,34270
HollandseeKust,Wind_offshr_grounded,6,5338
Hornsea,Wind_offshr_grounded,6,13381
Ireland,Wind_offshr_grounded,6,8411
Italy,Wind_offshr_grounded,6,8207
Latvia,Wind_offshr_grounded,6,2485
Lithuania,Wind_offshr_grounded,6,1444
MorayFirth,Wind_offshr_grounded,6,10807
NO2,Wind_offshr_grounded,6,0
Netherlands,Wind_offshr_grounded,6,13987
Nordsøen,Wind_offshr_grounded,6,12834
Norfolk,Wind_offshr_grounded,6,2538
OuterDowsing,Wind_offshr_grounded,6,12541
Poland,Wind_offshr_grounded,6,6152
Portugal,Wind_offshr_grounded,6,5026
Spain,Wind_offshr_grounded,6,6679
Sweden,Wind_offshr_grounded,6,8782
SørligeNordsjøI,Wind_offshr_grounded,6,383
SørligeNordsjøII,Wind_offshr_grounded,6,242
UtsiraNord,Wind_offshr_grounded,6,0
Belgium,Wind_offshr_grounded,7,7417
Borssele,Wind_offshr_grounded,7,34563
Denmark,Wind_offshr_grounded,7,40305
DoggerBank,Wind_offshr_grounded,7,20868
EastAnglia,Wind_offshr_grounded,7,13712
Estonia,Wind_offshr_grounded,7,1647
Finland,Wind_offshr_grounded,7,14176
FirthofForth,Wind_offshr_grounded,7,8596
France,Wind_offshr_grounded,7,32434
Germany,Wind_offshr_grounded,7,50629
GreatBrit.,Wind_offshr_grounded,7,0
HelgoländerBucht,Wind_offshr_grounded,7,34276
HollandseeKust,Wind_offshr_grounded,7,6047
Hornsea,Wind_offshr_grounded,7,14958
Ireland,Wind_offshr_grounded,7,12011
Italy,Wind_offshr_grounded,7,12207
Latvia,Wind_offshr_grounded,7,4235
Lithuania,Wind_offshr_grounded,7,2069
MorayFirth,Wind_offshr_grounded,7,11664
NO2,Wind_offshr_grounded,7,0
Netherlands,Wind_offshr_grounded,7,18545
Nordsøen,Wind_offshr_grounded,7,16536
Norfolk,Wind_offshr_grounded,7,3406
OuterDowsing,Wind_offshr_grounded,7,13528
Poland,Wind_offshr_grounded,7,9453
Portugal,Wind_offshr_grounded,7,6270
Spain,Wind_offshr_grounded,7,9252
Sweden,Wind_offshr_grounded,7,14158
SørligeNordsjøI,Wind_offshr_grounded,7,691
SørligeNordsjøII,Wind_offshr_grounded,7,436
UtsiraNord,Wind_offshr_grounded,7,0
