Node,GeneratorTechnology,Period,generatorInitialCapacity_in_MW
Greece,Liginiteexisting,3,0
Greece,Liginiteexisting,4,0
Greece,Liginiteexisting,5,0
Greece,Liginiteexisting,6,0
Greece,Liginiteexisting,7,0
Hungary,Liginiteexisting,1,787
Hungary,Liginiteexisting,2,0
Hungary,Liginiteexisting,3,0
Hungary,Liginiteexisting,4,0
Hungary,Liginiteexisting,5,0
Hungary,Liginiteexisting,6,0
Hungary,Liginiteexisting,7,0
Ireland,Liginiteexisting,1,344
Ireland,Liginiteexisting,2,0
Ireland,Liginiteexisting,3,0
Ireland,Liginiteexisting,4,0
Ireland,Liginiteexisting,5,0
Ireland,Liginiteexisting,6,0
Ireland,Liginiteexisting,7,0
Poland,Liginiteexisting,1,7548
Poland,Liginiteexisting,2,6431
Poland,Liginiteexisting,3,2891
Poland,Liginiteexisting,4,1208
Poland,Liginiteexisting,5,725
Poland,Liginiteexisting,6,476
Poland,Liginiteexisting,7,476
Romania,Liginiteexisting,1,1733
Romania,Liginiteexisting,2,1733
Romania,Liginiteexisting,3,0
Romania,Liginiteexisting,4,0
Romania,Liginiteexisting,5,0
Romania,Liginiteexisting,6,0
Romania,Liginiteexisting,7,0
Serbia,Liginiteexisting,1,6011
Serbia,Liginiteexisting,2,2741
Serbia,Liginiteexisting,3,697
Serbia,Liginiteexisting,4,0
Serbia,Liginiteexisting,5,0
Serbia,Liginiteexisting,6,0
Serbia,Liginiteexisting,7,0
Slovenia,Liginiteexisting,1,1191
Slovenia,Liginiteexisting,2,1191
Slovenia,Liginiteexisting,3,0
Slovenia,Liginiteexisting,4,0
Slovenia,Liginiteexisting,5,0
Slovenia,Liginiteexisting,6,0
Slovenia,Liginiteexisting,7,0
Slovakia,Liginiteexisting,1,276
Slovakia,Liginiteexisting,2,0
Slovakia,Liginiteexisting,3,0
Slovakia,Liginiteexisting,4,0
Slovakia,Liginiteexisting,5,0
Slovakia,Liginiteexisting,6,0
Slovakia,Liginiteexisting,7,0
BosniaH,Liginiteexisting,1,1883
BosniaH,Liginiteexisting,2,1384
BosniaH,Liginiteexisting,3,499
BosniaH,Liginiteexisting,4,499
BosniaH,Liginiteexisting,5,499
BosniaH,Liginiteexisting,6,499
BosniaH,Liginiteexisting,7,499
Macedonia,Liginiteexisting,1,824
Macedonia,Liginiteexisting,2,0
Macedonia,Liginiteexisting,3,0
Macedonia,Liginiteexisting,4,0
Macedonia,Liginiteexisting,5,0
Macedonia,Liginiteexisting,6,0
Macedonia,Liginiteexisting,7,0
