Node,GeneratorTechnology,generatorMaxInstallCapacity__in_MW
NO2,Gas,200000.0
NO3,Gas,200000.0
NO4,Gas,200000.0
NO5,Gas,200000.0
Poland,Gas,200000.0
Portugal,Gas,200000.0
Romania,Gas,200000.0
Serbia,Gas,200000.0
Sleipner,Gas,200.0
Slovakia,Gas,200000.0
Slovenia,Gas,200000.0
Spain,Gas,200000.0
Sweden,Gas,200000.0
Switzerland,Gas,200000.0
Austria,Geo,1.0
Belgium,Geo,3.5
Croatia,Geo,34.0
CzechR,Geo,4.4
France,Geo,80.0
Germany,Geo,300.0
Greece,Geo,120.0
Hungary,Geo,57.0
Ireland,Geo,144.0
Italy,Geo,1000.0
Latvia,Geo,10.0
Portugal,Geo,75.0
Slovakia,Geo,4.0
Spain,Geo,50.0
Austria,Hcoal,0.0
Belgium,Hcoal,0.0
BosniaH,Hcoal,200000.0
Bulgaria,Hcoal,200000.0
Croatia,Hcoal,200000.0
CzechR,Hcoal,200000.0
Denmark,Hcoal,200000.0
Estonia,Hcoal,0.0
Finland,Hcoal,200000.0
France,Hcoal,200000.0
Germany,Hcoal,200000.0
GreatBrit.,Hcoal,200000.0
Hungary,Hcoal,200000.0
Ireland,Hcoal,200000.0
Italy,Hcoal,200000.0
Latvia,Hcoal,0.0
Netherlands,Hcoal,200000.0
Poland,Hcoal,200000.0
Portugal,Hcoal,200000.0
Romania,Hcoal,200000.0
Slovakia,Hcoal,200000.0
Slovenia,Hcoal,200000.0
Spain,Hcoal,200000.0
Sweden,Hcoal,200000.0
Austria,Hydro_reg,4530.309311830878
BosniaH,Hydro_reg,1587.0
Bulgaria,Hydro_reg,4624.735944700461
Croatia,Hydro_reg,1407.0
CzechR,Hydro_reg,1298.5227272727273
Finland,Hydro_reg,6542.590642306053
France,Hydro_reg,20711.65593789937
Germany,Hydro_reg,2211.2
GreatBrit.,Hydro_reg,7219.0
Greece,Hydro_reg,3070.5
Hungary,Hydro_reg,46.0
Ireland,Hydro_reg,296.0
Italy,Hydro_reg,12830.050171000099
Lithuania,Hydro_reg,259.0
Luxemb.,Hydro_reg,45.6875
Macedonia,Hydro_reg,503.0
NO1,Hydro_reg,3950.7520000000004
NO2,Hydro_reg,10028.832
NO3,Hydro_reg,4558.56
NO4,Hydro_reg,5470.272
NO5,Hydro_reg,6381.984
Poland,Hydro_reg,600.8852957135106
Portugal,Hydro_reg,16114.3381474104
Romania,Hydro_reg,11223.445046821094
Serbia,Hydro_reg,714.741218319253
Slovakia,Hydro_reg,2684.0
Spain,Hydro_reg,39940.91973876953
Sweden,Hydro_reg,11477.2
Switzerland,Hydro_reg,10150.0
Austria,Hydro_ror,11225.3
Belgium,Hydro_ror,362.3
BosniaH,Hydro_ror,85.0
Bulgaria,Hydro_ror,326.26405529953917
Croatia,Hydro_ror,495.0
CzechR,Hydro_ror,459.47727272727275
Denmark,Hydro_ror,9.0
Estonia,Hydro_ror,13.0
Finland,Hydro_ror,523.0
France,Hydro_ror,15718.688124201259
Germany,Hydro_ror,4151.359011482777
GreatBrit.,Hydro_ror,3309.558659217877
Greece,Hydro_ror,1575.0
Hungary,Hydro_ror,194.0
Ireland,Hydro_ror,32.0
Italy,Hydro_ror,8508.1996579998
Latvia,Hydro_ror,1676.0
Lithuania,Hydro_ror,150.0
Luxemb.,Hydro_ror,40.3125
Macedonia,Hydro_ror,200.0
Netherlands,Hydro_ror,227.0
NO1,Hydro_ror,1950.0
NO2,Hydro_ror,4950.0
NO3,Hydro_ror,2250.0
NO4,Hydro_ror,2700.0
NO5,Hydro_ror,3150.0
Poland,Hydro_ror,1752.0147042864896
Portugal,Hydro_ror,29427.66185258964
Romania,Hydro_ror,6707.554953178906
Serbia,Hydro_ror,3530.5
Slovakia,Hydro_ror,1500.0
Slovenia,Hydro_ror,3574.0
Spain,Hydro_ror,9518.080261230469
Sweden,Hydro_ror,6559.037777777778
Switzerland,Hydro_ror,7127.0
Austria,Hydrogen,200000.0
Belgium,Hydrogen,200000.0
BosniaH,Hydrogen,200000.0
Bulgaria,Hydrogen,200000.0
Croatia,Hydrogen,200000.0
CzechR,Hydrogen,200000.0
Denmark,Hydrogen,200000.0
Estonia,Hydrogen,200000.0
Finland,Hydrogen,200000.0
France,Hydrogen,200000.0
Germany,Hydrogen,200000.0
GreatBrit.,Hydrogen,200000.0
Greece,Hydrogen,200000.0
Hungary,Hydrogen,200000.0
Ireland,Hydrogen,200000.0
Italy,Hydrogen,200000.0
Latvia,Hydrogen,200000.0
Lithuania,Hydrogen,200000.0
Luxemb.,Hydrogen,200000.0
Macedonia,Hydrogen,200000.0
Netherlands,Hydrogen,200000.0
NO1,Hydrogen,200000.0
NO2,Hydrogen,200000.0
NO3,Hydrogen,200000.0
NO4,Hydrogen,200000.0
NO5,Hydrogen,200000.0
Poland,Hydrogen,200000.0
Portugal,Hydrogen,200000.0
Romania,Hydrogen,200000.0
Serbia,Hydrogen,200000.0
Slovakia,Hydrogen,200000.0
Slovenia,Hydrogen,200000.0
Spain,Hydrogen,200000.0
Sweden,Hydrogen,200000.0
Switzerland,Hydrogen,200000.0
BosniaH,Lignite,200000.0
Bulgaria,Lignite,200000.0
CzechR,Lignite,200000.0
Germany,Lignite,200000.0
Greece,Lignite,200000.0
Hungary,Lignite,200000.0
Ireland,Lignite,200000.0
Lithuania,Lignite,200000.0
Macedonia,Lignite,200000.0
Poland,Lignite,200000.0
Romania,Lignite,200000.0
Serbia,Lignite,200000.0
Slovakia,Lignite,200000.0
Slovenia,Lignite,200000.0
Spain,Lignite,200000.0
Austria,Nuclear,0.0
Belgium,Nuclear,200000.0
BosniaH,Nuclear,200000.0
Bulgaria,Nuclear,200000.0
Croatia,Nuclear,200000.0
CzechR,Nuclear,200000.0
Denmark,Nuclear,200000.0
Estonia,Nuclear,200000.0
Finland,Nuclear,200000.0
France,Nuclear,200000.0
Germany,Nuclear,0.0
GreatBrit.,Nuclear,200000.0
Greece,Nuclear,200000.0
Hungary,Nuclear,200000.0
Ireland,Nuclear,200000.0
Italy,Nuclear,200000.0
Latvia,Nuclear,200000.0
Lithuania,Nuclear,200000.0
Luxemb.,Nuclear,200000.0
Macedonia,Nuclear,200000.0
Netherlands,Nuclear,200000.0
NO1,Nuclear,200000.0
NO2,Nuclear,200000.0
NO3,Nuclear,200000.0
NO4,Nuclear,200000.0
NO5,Nuclear,200000.0
Poland,Nuclear,200000.0
Portugal,Nuclear,200000.0
Romania,Nuclear,200000.0
Serbia,Nuclear,200000.0
Slovakia,Nuclear,200000.0
Slovenia,Nuclear,200000.0
Spain,Nuclear,200000.0
Sweden,Nuclear,200000.0
Switzerland,Nuclear,200000.0
Austria,Oil,200000.0
Belgium,Oil,200000.0
BosniaH,Oil,200000.0
Bulgaria,Oil,200000.0
Croatia,Oil,200000.0
CzechR,Oil,200000.0
Denmark,Oil,200000.0
Estonia,Oil,200000.0
Finland,Oil,200000.0
France,Oil,200000.0
Germany,Oil,200000.0
GreatBrit.,Oil,200000.0
Greece,Oil,200000.0
Hungary,Oil,200000.0
Ireland,Oil,200000.0
Italy,Oil,200000.0
Latvia,Oil,200000.0
Lithuania,Oil,200000.0
Luxemb.,Oil,200000.0
Macedonia,Oil,200000.0
Netherlands,Oil,200000.0
NO1,Oil,200000.0
NO2,Oil,200000.0
NO3,Oil,200000.0
NO4,Oil,200000.0
NO5,Oil,200000.0
Poland,Oil,200000.0
Portugal,Oil,200000.0
Romania,Oil,200000.0
Serbia,Oil,200000.0
Slovakia,Oil,200000.0
Slovenia,Oil,200000.0
Spain,Oil,200000.0
Sweden,Oil,200000.0
Switzerland,Oil,200000.0
Austria,Solar,87707.82934593328
Belgium,Solar,59651.26437888304
BosniaH,Solar,26991.681130758385
Bulgaria,Solar,61362.35711815227
Croatia,Solar,30680.24745089183
CzechR,Solar,87707.82934593328
Denmark,Solar,92037.4230292197
Estonia,Solar,25972.992338998945
Finland,Solar,42484.71736176468
France,Solar,961778.5730058266
Germany,Solar,579542.6244185203
GreatBrit.,Solar,402913.72338289034
Greece,Solar,89785.6308649834
Hungary,Solar,106760.4439762896
Ireland,Solar,139421.1845695942
Italy,Solar,514309.38257693197
Latvia,Solar,25580.52922866765
Lithuania,Solar,54372.84869142212
Luxemb.,Solar,3602.8376191375773
Macedonia,Solar,21353.90401420895
Netherlands,Solar,76366.23052914972
NO1,Solar,10848.852338523311
NO2,Solar,27539.39439778994
NO3,Solar,12517.906544449974
NO4,Solar,15021.487853339968
NO5,Solar,17525.06916222996
Poland,Solar,478685.74684579653
Portugal,Solar,64440.75978368807
Romania,Solar,125591.97192302551
Serbia,Solar,60092.96712032436
Slovakia,Solar,70875.00945207797
Slovenia,Solar,21353.90401420895
Spain,Solar,493970.20344844676
Sweden,Solar,83452.71029633316
Switzerland,Solar,87707.82934593328
Austria,Waste,85.0
Belgium,Waste,390.0
BosniaH,Waste,0.0
Bulgaria,Waste,10.0
Croatia,Waste,6.300000000000001
CzechR,Waste,105.0
Denmark,Waste,390.0
Estonia,Waste,21.0
Finland,Waste,165.9
France,Waste,970.0
Germany,Waste,1873.2
GreatBrit.,Waste,5.25
Greece,Waste,0.0
Hungary,Waste,50.0
Ireland,Waste,84.0
Italy,Waste,675.0
Latvia,Waste,0.0
Lithuania,Waste,75.0
Luxemb.,Waste,25.0
Macedonia,Waste,0.0
Netherlands,Waste,795.9
NO1,Waste,35.0
NO2,Waste,25.0
NO3,Waste,19.0
NO4,Waste,0.0
NO5,Waste,35.0
Poland,Waste,59.85
Portugal,Waste,0.0
Romania,Waste,0.0
Serbia,Waste,35.0
Slovakia,Waste,19.95
Slovenia,Waste,8.4
Spain,Waste,714.0
Sweden,Waste,467.25
Switzerland,Waste,443.1
Finland,Wave,12.0
France,Wave,450.0
GreatBrit.,Wave,1500.0
Ireland,Wave,90.0
Italy,Wave,7.0
Netherlands,Wave,162.0
Portugal,Wave,300.0
Spain,Wave,120.0
Belgium,Wind_offshr_floating,0.0
Denmark,Wind_offshr_floating,0.0
Estonia,Wind_offshr_floating,0.0
Finland,Wind_offshr_floating,0.0
FirthofForth,Wind_offshr_floating,33294.0
France,Wind_offshr_floating,19692.79134
Germany,Wind_offshr_floating,0.0
GreatBrit.,Wind_offshr_floating,0.0
Greece,Wind_offshr_floating,0.0
Ireland,Wind_offshr_floating,7927.036919999999
Italy,Wind_offshr_floating,0.0
Latvia,Wind_offshr_floating,0.0
Lithuania,Wind_offshr_floating,0.0
MorayFirth,Wind_offshr_floating,13974.0
Netherlands,Wind_offshr_floating,0.0
NO1,Wind_offshr_floating,0.0
NO2,Wind_offshr_floating,0.0
NO3,Wind_offshr_floating,0.0
NO4,Wind_offshr_floating,0.0
NO5,Wind_offshr_floating,0.0
Poland,Wind_offshr_floating,0.0
Portugal,Wind_offshr_floating,3128.58726
Romania,Wind_offshr_floating,0.0
SørligeNordsjøI,Wind_offshr_floating,4074.0
SørligeNordsjøII,Wind_offshr_floating,12866.0
Spain,Wind_offshr_floating,6052.752785517665
Sweden,Wind_offshr_floating,18965.634390000003
UtsiraNord,Wind_offshr_floating,6007.0
Belgium,Wind_offshr_grounded,8000.0
Borssele,Wind_offshr_grounded,5858.3
Denmark,Wind_offshr_grounded,61554.16179999999
DoggerBank,Wind_offshr_grounded,19512.0
EastAnglia,Wind_offshr_grounded,8106.0
Estonia,Wind_offshr_grounded,4979.800000000001
Finland,Wind_offshr_grounded,40971.4
FirthofForth,Wind_offshr_grounded,12636.0
France,Wind_offshr_grounded,45949.84645999999
Germany,Wind_offshr_grounded,58684.5
GreatBrit.,Wind_offshr_grounded,0.0
Greece,Wind_offshr_grounded,0.0
HelgoländerBucht,Wind_offshr_grounded,27492.75
HollandseeKust,Wind_offshr_grounded,7997.0
Hornsea,Wind_offshr_grounded,14466.0
Ireland,Wind_offshr_grounded,18496.419479999997
Italy,Wind_offshr_grounded,27733.911303457768
Latvia,Wind_offshr_grounded,20453.600000000002
Lithuania,Wind_offshr_grounded,6662.961
MorayFirth,Wind_offshr_grounded,6558.0
Netherlands,Wind_offshr_grounded,50212.7342
NO1,Wind_offshr_grounded,0.0
NO2,Wind_offshr_grounded,0.0
NO3,Wind_offshr_grounded,0.0
NO4,Wind_offshr_grounded,0.0
NO5,Wind_offshr_grounded,0.0
Nordsøen,Wind_offshr_grounded,24132.0
Norfolk,Wind_offshr_grounded,9756.0
OuterDowsing,Wind_offshr_grounded,7518.0
Poland,Wind_offshr_grounded,29021.9953
Portugal,Wind_offshr_grounded,7300.036939999999
Romania,Wind_offshr_grounded,0.0
SørligeNordsjøI,Wind_offshr_grounded,4074.0
SørligeNordsjøII,Wind_offshr_grounded,2573.0
Spain,Wind_offshr_grounded,14123.08983287455
Sweden,Wind_offshr_grounded,44253.146909999996
UtsiraNord,Wind_offshr_grounded,0.0
Austria,Wind_onshr,29794.873618999998
Belgium,Wind_onshr,18466.534760000002
BosniaH,Wind_onshr,15000.0
Bulgaria,Wind_onshr,50096.01315705593
Croatia,Wind_onshr,20548.881899655575
CzechR,Wind_onshr,81811.85006884682
Denmark,Wind_onshr,34539.91947974344
Estonia,Wind_onshr,9195.197092362365
Finland,Wind_onshr,31259.999999999996
France,Wind_onshr,473376.29980005446
Germany,Wind_onshr,144065.01181800003
GreatBrit.,Wind_onshr,230005.00000000012
Greece,Wind_onshr,67301.33097692662
Hungary,Wind_onshr,68231.04603211941
Ireland,Wind_onshr,31286.22610273709
Italy,Wind_onshr,291509.360971
Latvia,Wind_onshr,9038.464231480924
Lithuania,Wind_onshr,18534.20087865111
Luxemb.,Wind_onshr,700.0000000000001
Macedonia,Wind_onshr,8750.0
Netherlands,Wind_onshr,48865.0
NO1,Wind_onshr,1820.0
NO2,Wind_onshr,4620.0
NO3,Wind_onshr,2200.0
NO4,Wind_onshr,2520.0
NO5,Wind_onshr,2940.0
Poland,Wind_onshr,105305.89338399998
Portugal,Wind_onshr,91846.7025859598
Romania,Wind_onshr,94809.14623202148
Serbia,Wind_onshr,15000.0
Slovakia,Wind_onshr,41397.15977669945
Slovenia,Wind_onshr,6733.550735000001
Spain,Wind_onshr,381468.73715192586
Sweden,Wind_onshr,65856.82416359999
Switzerland,Wind_onshr,1000.0
